onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0311	1	10	1	2297.1	1	4	2	0	1	1	1	0.75	17845	13269	15566
5.6072	1	30	-99	-99	1	4	2	0	1	1	1	0.75	17845	13269	15566
8.7906	1	10	1	2369.6	1	3	2	1	1	1	2	0.75	25123	21028	23398
12.8858	1	31	-99	-99	1	3	2	1	1	1	2	0.75	25123	21028	23398
15.8039	1	10	1	1412.3	1	8	6	1	1	1	3	0.75	31225	28041	29454
18.9872	1	31	-99	-99	1	8	6	1	1	1	3	0.75	31225	28041	29454
21.8224	1	10	2	2601.8	1	5	4	0	2	1	4	0.75	38653	34060	36662
26.4151	1	30	-99	-99	1	5	4	0	2	1	4	0.75	38653	34060	36662
29.2171	1	10	1	2279.1	1	5	6	0	1	1	5	0.75	45997	41455	43734
33.76	1	30	-99	-99	1	5	6	0	1	1	5	0.75	45997	41455	43734
36.8107	1	10	2	2981.5	1	4	5	1	2	1	6	0.75	54354	49048	52030
42.1163	1	31	-99	-99	1	4	5	1	2	1	6	0.75	54354	49048	52030
45.482	1	10	1	4454.2	1	8	4	1	1	1	7	0.75	63854	57720	62174
51.6166	1	31	-99	-99	1	8	4	1	1	1	7	0.75	63854	57720	62174
54.916	1	10	2	2452.2	1	6	5	0	2	1	8	0.75	71332	67154	69606
59.0942	1	30	-99	-99	1	6	5	0	2	1	8	0.75	71332	67154	69606
62.4599	1	10	2	2844.3	1	7	5	0	2	1	9	0.75	79854	74697	77542
67.6163	1	30	-99	-99	1	7	5	0	2	1	9	0.75	79854	74697	77542
71.1146	1	10	1	2901.6	1	5	7	0	1	1	10	0.75	88459	83352	86254
76.2213	1	30	-99	-99	1	5	7	0	1	1	10	0.75	88459	83352	86254
79.1891	1	10	1	2579.1	1	6	7	1	1	1	11	0.75	96052	91427	94006
83.8149	1	31	-99	-99	1	6	7	1	1	1	11	0.75	96052	91427	94006
86.4677	1	10	1	3916.5	1	3	8	0	1	1	12	0.75	104757	98705	102622
92.5194	1	30	-99	-99	1	3	8	0	1	1	12	0.75	104757	98705	102622
95.1722	1	10	1	3108	1	4	5	1	1	1	13	0.75	112748	107410	110518
100.5109	1	31	-99	-99	1	4	5	1	1	1	13	0.75	112748	107410	110518
103.2797	1	10	1	4216.5	1	5	2	1	1	1	14	0.75	122232	115517	119734
109.9946	1	31	-99	-99	1	5	2	1	1	1	14	0.75	122232	115517	119734
112.6474	1	10	2	4440.8	1	8	8	0	2	1	15	0.75	131832	124885	129326
119.5944	1	30	-99	-99	1	8	8	0	2	1	15	0.75	131832	124885	129326
123.0265	1	10	1	1413.7	1	8	2	0	1	1	16	0.75	138447	135264	136678
126.2098	1	30	-99	-99	1	8	2	0	1	1	16	0.75	138447	135264	136678
129.7082	1	10	2	7644	1	2	6	0	2	1	17	0.75	151463	141946	149590
139.2251	1	30	-99	-99	1	2	6	0	2	1	17	0.75	151463	141946	149590
142.5908	1	10	1	2553.4	1	7	8	0	1	1	18	0.75	159504	154828	157382
147.2664	1	30	-99	-99	1	7	8	0	1	1	18	0.75	159504	154828	157382
149.8031	1	10	1	2501.1	1	8	2	0	1	0	19	0.25	166550	162041	164542
154.3129	1	30	-99	-99	1	8	2	0	1	0	19	0.25	166550	162041	164542
157.3967	1	10	2	1299.5	1	3	5	1	2	0	20	0.25	172503	169634	170934
160.2651	1	31	-99	-99	1	3	5	1	2	0	20	0.25	172503	169634	170934
163.7469	1	10	1	1197.3	1	8	4	0	1	0	21	0.25	179234	175984	177182
166.9965	1	30	-99	-99	1	8	4	0	1	0	21	0.25	179234	175984	177182
169.7488	1	10	2	1419.4	1	7	8	0	2	0	22	0.25	185385	181986	183406
173.1477	1	30	-99	-99	1	7	8	0	2	0	22	0.25	185385	181986	183406
176.1984	1	10	1	2097.8	1	6	4	0	1	0	23	0.25	192763	188436	190534
180.5258	1	30	-99	-99	1	6	4	0	1	0	23	0.25	192763	188436	190534
183.6594	1	10	2	4588.8	1	5	3	1	2	0	24	0.25	202927	195897	200486
190.6893	1	31	-99	-99	1	5	3	1	2	0	24	0.25	202927	195897	200486
193.939	1	10	2	2733.2	1	5	7	1	2	0	25	0.25	210454	206176	208910
198.2166	1	31	-99	-99	1	5	7	1	2	0	25	0.25	210454	206176	208910
201.1678	1	10	1	5032.4	1	4	3	1	1	0	26	0.25	220037	213405	218438
207.7998	1	31	-99	-99	1	4	3	1	1	0	26	0.25	220037	213405	218438
210.3531	1	10	1	1807.1	1	7	5	0	1	0	27	0.25	226454	222591	224398
214.2163	1	30	-99	-99	1	7	5	0	1	0	27	0.25	226454	222591	224398
216.8525	1	10	2	1707.7	1	5	2	0	2	0	28	0.25	232870	229090	230798
220.6327	1	30	-99	-99	1	5	2	0	2	0	28	0.25	232870	229090	230798
223.7497	1	10	1	5970.6	1	6	6	0	1	0	29	0.25	244194	235987	241958
231.9568	1	30	-99	-99	1	6	6	0	1	0	29	0.25	244194	235987	241958
234.5267	1	10	2	3897.6	1	2	2	0	2	0	30	0.25	252551	246764	250662
240.3131	1	30	-99	-99	1	2	2	0	2	0	30	0.25	252551	246764	250662
243.082	1	10	2	1886.3	1	2	7	1	2	0	31	0.25	259116	255319	257206
246.8788	1	31	-99	-99	1	2	7	1	2	0	31	0.25	259116	255319	257206
257.6226	1	10	1	2217.7	1	3	5	1	1	1	32	0.85	274022	269860	272078
261.7842	1	31	-99	-99	1	3	5	1	1	1	32	0.85	274022	269860	272078
265.1001	1	10	1	3356.2	1	5	2	1	1	1	33	0.85	282212	277338	280694
269.9746	1	31	-99	-99	1	5	2	1	1	1	33	0.85	282212	277338	280694
273.3735	1	10	2	4098.8	1	4	7	0	2	1	34	0.85	291530	285611	289710
279.2926	1	30	-99	-99	1	4	7	0	2	1	34	0.85	291530	285611	289710
282.1112	1	10	1	1281.1	1	7	4	1	1	1	35	0.85	297980	294349	295630
285.7422	1	31	-99	-99	1	7	4	1	1	1	35	0.85	297980	294349	295630
288.8261	1	10	1	2910.2	1	2	2	1	1	1	36	0.85	305955	301064	303974
293.7171	1	31	-99	-99	1	2	2	1	1	1	36	0.85	305955	301064	303974
296.5192	1	10	1	1305.1	1	7	3	1	1	1	37	0.85	312006	308757	310062
299.7688	1	31	-99	-99	1	7	3	1	1	1	37	0.85	312006	308757	310062
302.8195	1	10	3	4404.8	1	3	6	0	3	1	38	0.85	321473	315057	319462
309.236	1	30	-99	-99	1	3	6	0	3	1	38	0.85	321473	315057	319462
312.552	1	10	1	1632.2	1	4	8	1	1	1	39	0.85	328454	324789	326422
316.2161	1	31	-99	-99	1	4	8	1	1	1	39	0.85	328454	324789	326422
319.2834	1	10	1	2916.9	1	5	7	1	1	1	40	0.85	336561	331521	334438
324.3237	1	31	-99	-99	1	5	7	1	1	1	40	0.85	336561	331521	334438
327.4076	1	10	1	1544.6	1	5	6	1	1	1	41	0.85	342712	339645	341190
330.4749	1	31	-99	-99	1	5	6	1	1	1	41	0.85	342712	339645	341190
333.4096	1	10	1	1566.7	1	8	4	1	1	1	42	0.85	349261	345647	347214
337.024	1	31	-99	-99	1	8	4	1	1	1	42	0.85	349261	345647	347214
340.2737	1	10	1	3118.5	1	2	4	1	1	1	43	0.85	357402	352511	355630
345.1648	1	31	-99	-99	1	2	4	1	1	1	43	0.85	357402	352511	355630
347.9668	1	10	1	6601.5	1	7	8	1	1	1	44	0.85	368577	360204	366806
356.3396	1	31	-99	-99	1	7	8	1	1	1	44	0.85	368577	360204	366806
359.2411	1	10	1	1975.2	1	3	2	1	1	1	45	0.85	375491	371479	373454
363.2535	1	31	-99	-99	1	3	2	1	1	1	45	0.85	375491	371479	373454
366.7353	1	10	1	1337	1	7	4	1	1	1	46	0.85	382654	378973	380310
370.416	1	31	-99	-99	1	7	4	1	1	1	46	0.85	382654	378973	380310
373.2678	1	10	1	3756.5	1	4	5	1	1	1	47	0.85	390778	385505	389262
378.5402	1	31	-99	-99	1	4	5	1	1	1	47	0.85	390778	385505	389262
381.5578	1	10	2	5642.5	1	2	6	0	2	1	48	0.85	401522	393795	399438
389.284	1	30	-99	-99	1	2	6	0	2	1	48	0.85	401522	393795	399438
392.5337	1	10	1	1730.6	1	4	6	1	1	1	49	0.85	408966	404771	406502
396.7284	1	31	-99	-99	1	4	6	1	1	1	49	0.85	408966	404771	406502
399.746	1	10	1	1950.3	1	6	2	0	1	0	50	0.15	415963	411983	413934
403.7252	1	30	-99	-99	1	6	2	0	1	0	50	0.15	415963	411983	413934
407.1406	1	10	1	2763.7	1	7	6	0	1	0	51	0.15	423672	419378	422142
411.4348	1	30	-99	-99	1	7	6	0	1	0	51	0.15	423672	419378	422142
414.2534	1	10	1	3282.9	1	5	2	0	1	0	52	0.15	432194	426491	429774
419.9569	1	30	-99	-99	1	5	2	0	1	0	52	0.15	432194	426491	429774
422.9911	1	10	2	1577.2	1	2	6	1	2	0	53	0.15	438959	435229	436806
426.7216	1	31	-99	-99	1	2	6	1	2	0	53	0.15	438959	435229	436806
430.0541	1	10	2	2138.2	1	7	7	1	2	0	54	0.15	446718	442292	444430
434.481	1	31	-99	-99	1	7	7	1	2	0	54	0.15	446718	442292	444430
437.283	1	10	1	2077.3	1	2	6	0	1	0	55	0.15	453135	449520	451598
440.8974	1	30	-99	-99	1	2	6	0	1	0	55	0.15	453135	449520	451598
443.5834	1	10	2	1216.9	1	8	8	1	2	0	56	0.15	459419	455821	457038
447.1812	1	31	-99	-99	1	8	8	1	2	0	56	0.15	459419	455821	457038
450.0164	1	10	1	3487.9	1	6	2	0	1	0	57	0.15	467477	462254	465742
455.2391	1	30	-99	-99	1	6	2	0	1	0	57	0.15	467477	462254	465742
458.7374	1	10	2	3134.9	1	8	7	1	2	0	58	0.15	476479	470975	474110
464.242	1	31	-99	-99	1	8	7	1	2	0	58	0.15	476479	470975	474110
467.4419	1	10	2	4542.4	1	6	3	1	2	0	59	0.15	486129	479679	484222
473.8915	1	31	-99	-99	1	6	3	1	2	0	59	0.15	486129	479679	484222
477.3567	1	10	2	1051.6	1	3	3	0	2	0	60	0.15	492628	489594	490646
480.3909	1	30	-99	-99	1	3	3	0	2	0	60	0.15	492628	489594	490646
483.5908	1	10	2	2201.5	1	6	7	1	2	0	61	0.15	500371	495828	498030
488.1337	1	31	-99	-99	1	6	7	1	2	0	61	0.15	500371	495828	498030
491.4829	1	10	2	1325.4	1	5	8	1	2	0	62	0.15	507534	503720	505046
495.2963	1	31	-99	-99	1	5	8	1	2	0	62	0.15	507534	503720	505046
506.6867	1	10	3	465.6	1	4	6	1	3	0	63	0.75	521129	518924	519390
508.8918	1	31	-99	-99	1	4	6	1	3	0	63	0.75	521129	518924	519390
512.2576	1	10	1	2022.7	1	4	3	1	1	0	64	0.75	528806	524495	526518
516.5683	1	31	-99	-99	1	4	3	1	1	0	64	0.75	528806	524495	526518
519.2046	1	10	1	1747.7	1	2	2	1	1	0	65	0.75	535090	531442	533190
522.8522	1	31	-99	-99	1	2	2	1	1	0	65	0.75	535090	531442	533190
525.5713	1	10	1	1029	1	6	2	1	1	0	66	0.75	540594	537809	538838
528.3567	1	31	-99	-99	1	6	2	1	1	0	66	0.75	540594	537809	538838
531.5898	1	10	1	1098.5	1	8	5	0	1	0	67	0.75	546895	543827	544926
534.6571	1	30	-99	-99	1	8	5	0	1	0	67	0.75	546895	543827	544926
537.7244	1	10	3	2675.9	1	4	8	0	3	0	68	0.75	554405	549962	552638
542.1678	1	30	-99	-99	1	4	8	0	3	0	68	0.75	554405	549962	552638
545.1025	1	10	1	1009.8	1	3	3	0	1	0	69	0.75	560805	557340	558350
548.5677	1	30	-99	-99	1	3	3	0	1	0	69	0.75	560805	557340	558350
551.7344	1	10	1	2529.9	1	2	3	1	1	0	70	0.75	568349	563972	566502
556.1115	1	31	-99	-99	1	2	3	1	1	0	70	0.75	568349	563972	566502
559.5104	1	10	1	1369.9	1	8	8	0	1	0	71	0.75	575163	571748	573118
562.9259	1	30	-99	-99	1	8	8	0	1	0	71	0.75	575163	571748	573118
565.8108	1	10	1	1229.5	1	6	4	1	1	0	72	0.75	581215	578048	579278
568.9776	1	31	-99	-99	1	6	4	1	1	0	72	0.75	581215	578048	579278
572.2107	1	10	1	2613.6	1	7	7	1	1	0	73	0.75	588643	584448	587062
576.4054	1	31	-99	-99	1	7	7	1	1	0	73	0.75	588643	584448	587062
579.1577	1	10	1	3090.6	1	5	6	1	1	0	74	0.75	596767	591395	594486
584.5296	1	31	-99	-99	1	5	6	1	1	0	74	0.75	596767	591395	594486
587.7295	1	10	1	854.9	1	7	6	1	1	0	75	0.75	603200	599967	600822
590.9626	1	31	-99	-99	1	7	6	1	1	0	75	0.75	603200	599967	600822
594.0962	1	10	1	1984.1	1	3	2	1	1	0	76	0.75	609948	606334	608318
597.7106	1	31	-99	-99	1	3	2	1	1	0	76	0.75	609948	606334	608318
600.4463	1	10	1	970	1	5	6	0	1	0	77	0.75	615436	612684	613654
603.1986	1	30	-99	-99	1	5	6	0	1	0	77	0.75	615436	612684	613654
606.2493	1	10	1	1487.1	1	3	6	1	1	0	78	0.75	622002	618487	619974
609.7643	1	31	-99	-99	1	3	6	1	1	0	78	0.75	622002	618487	619974
612.815	1	10	1	2369.4	1	7	7	0	1	1	79	0.25	629910	625052	627422
617.6729	1	30	-99	-99	1	7	7	0	1	1	79	0.25	629910	625052	627422
620.6407	1	10	1	2015.7	1	5	3	0	1	1	80	0.25	637106	632878	634894
624.8686	1	30	-99	-99	1	5	3	0	1	1	80	0.25	637106	632878	634894
627.5214	1	10	1	3031	1	5	8	1	1	1	81	0.25	645015	639759	642790
632.7773	1	31	-99	-99	1	5	8	1	1	1	81	0.25	645015	639759	642790
635.6787	1	10	2	6737.7	1	4	6	1	2	1	82	0.25	656472	647916	654654
644.234	1	31	-99	-99	1	4	6	1	2	1	82	0.25	656472	647916	654654
647.1687	1	10	2	2687.7	1	6	6	1	2	1	83	0.25	663667	659406	662094
651.4297	1	31	-99	-99	1	6	6	1	2	1	83	0.25	663667	659406	662094
654.4804	1	10	2	1344	1	4	6	1	2	1	84	0.25	669702	666718	668062
657.4648	1	31	-99	-99	1	4	6	1	2	1	84	0.25	669702	666718	668062
660.1508	1	10	1	3457.6	1	7	2	1	1	1	85	0.25	678075	672388	675846
665.8377	1	31	-99	-99	1	7	2	1	1	1	85	0.25	678075	672388	675846
668.8552	1	10	1	841.1	1	6	5	0	1	1	86	0.25	683547	681093	681934
671.3091	1	30	-99	-99	1	6	5	0	1	1	86	0.25	683547	681093	681934
674.6582	1	10	1	2014.1	1	8	3	0	1	1	87	0.25	691273	686896	688910
679.0353	1	30	-99	-99	1	8	3	0	1	1	87	0.25	691273	686896	688910
682.5005	1	10	2	1755.9	1	5	3	1	2	1	88	0.25	698949	694738	696494
686.7119	1	31	-99	-99	1	5	3	1	2	1	88	0.25	698949	694738	696494
690.2268	1	10	1	7525.6	1	6	4	0	1	1	89	0.25	711650	702464	709990
699.4121	1	30	-99	-99	1	6	4	0	1	1	89	0.25	711650	702464	709990
702.0483	1	10	2	728.1	1	2	4	1	2	1	90	0.25	717403	714286	715014
705.1654	1	31	-99	-99	1	2	4	1	2	1	90	0.25	717403	714286	715014
708.1995	1	10	2	3152.9	1	5	2	1	2	1	91	0.25	725660	720437	723590
713.4222	1	31	-99	-99	1	5	2	1	2	1	91	0.25	725660	720437	723590
716.5226	1	10	2	821.8	1	5	8	1	2	1	92	0.25	731678	728760	729582
719.4407	1	31	-99	-99	1	5	8	1	2	1	92	0.25	731678	728760	729582
722.6738	1	10	2	1374.6	1	2	4	1	2	1	93	0.25	738393	734911	736286
726.1556	1	31	-99	-99	1	2	4	1	2	1	93	0.25	738393	734911	736286
729.6374	1	10	2	1771	1	8	8	0	2	1	94	0.25	746086	741875	743646
733.8487	1	30	-99	-99	1	8	8	0	2	1	94	0.25	746086	741875	743646
737.1481	1	10	2	4916.3	1	4	7	1	2	1	95	0.25	756532	749386	754302
744.294	1	31	-99	-99	1	4	7	1	2	1	95	0.25	756532	749386	754302
746.9468	1	10	2	1613.6	1	2	4	0	2	1	96	0.25	762467	759184	760798
750.2297	1	30	-99	-99	1	2	4	0	2	1	96	0.25	762467	759184	760798
753.4793	1	10	2	1753.1	1	5	3	1	2	1	97	0.25	769431	765717	767470
757.1933	1	31	3	9567.1	1	5	3	1	2	1	97	0.25	769431	765717	767470
767.7878	1	10	1	1692.6	1	6	3	1	1	0	98	0.85	784137	780025	781718
771.8997	1	31	-99	-99	1	6	3	1	1	0	98	0.85	784137	780025	781718
774.9835	1	10	1	2056.9	1	5	8	1	1	0	99	0.85	791648	787221	789278
779.4104	1	31	-99	-99	1	5	8	1	1	0	99	0.85	791648	787221	789278
782.345	1	10	1	1151.4	1	2	7	1	1	0	100	0.85	797633	794583	795734
