onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0216	1	10	1	3271.3	1	7	7	0	1	0	1	0.75	18458	12705	15976
6.7748	1	30	-99	-99	1	7	7	0	1	0	1	0.75	18458	12705	15976
9.8421	1	10	2	2698.8	1	6	6	0	2	0	2	0.75	26466	21525	24224
14.7829	1	30	-99	-99	1	6	6	0	2	0	2	0.75	26466	21525	24224
17.5352	1	10	2	1061.7	1	3	6	0	2	0	3	0.75	31888	29218	30280
20.2046	1	30	-99	-99	1	3	6	0	2	0	3	0.75	31888	29218	30280
23.5205	1	10	1	636.4	1	8	3	1	1	0	4	0.75	38172	35204	35840
26.4883	1	31	-99	-99	1	8	3	1	1	0	4	0.75	38172	35204	35840
29.9535	1	10	1	563.3	1	8	2	0	1	0	5	0.75	44688	41637	42200
33.0042	1	30	-99	-99	1	8	2	0	1	0	5	0.75	44688	41637	42200
35.7399	1	10	2	1496.9	1	6	3	1	2	0	6	0.75	50772	47423	48920
39.0891	1	31	-99	-99	1	6	3	1	2	0	6	0.75	50772	47423	48920
42.2392	1	10	2	709.6	1	4	7	0	2	0	7	0.75	56841	53923	54632
45.1573	1	30	-99	-99	1	4	7	0	2	0	7	0.75	56841	53923	54632
48.009	1	10	1	1315.8	1	6	5	1	1	0	8	0.75	63406	59692	61008
51.7229	1	31	-99	-99	1	6	5	1	1	0	8	0.75	63406	59692	61008
54.9726	1	10	2	1752.2	1	3	7	0	2	0	9	0.75	70635	66656	68408
58.9518	1	30	-99	-99	1	3	7	0	2	0	9	0.75	70635	66656	68408
62.0522	1	10	2	2144.6	1	3	2	1	2	0	10	0.75	78378	73736	75880
66.6946	1	31	-99	-99	1	3	2	1	2	0	10	0.75	78378	73736	75880
70.0106	1	10	2	1114.2	1	2	2	0	2	0	11	0.75	85308	81694	82808
73.625	1	30	-99	-99	1	2	2	0	2	0	11	0.75	85308	81694	82808
76.4104	1	10	1	1290.3	1	3	4	1	1	0	12	0.75	91144	88094	89384
79.4611	1	31	-99	-99	1	3	4	1	1	0	12	0.75	91144	88094	89384
82.3958	1	10	1	856.9	1	6	3	1	1	0	13	0.75	97412	94079	94936
85.7284	1	31	-99	-99	1	6	3	1	1	0	13	0.75	97412	94079	94936
88.5801	1	10	1	1064.6	1	4	4	1	1	0	14	0.75	103695	100263	101328
92.0121	1	31	-99	-99	1	4	4	1	1	0	14	0.75	103695	100263	101328
95.0628	1	10	1	733.9	1	6	3	1	1	0	15	0.75	109250	106746	107480
97.5664	1	31	-99	-99	1	6	3	1	1	0	15	0.75	109250	106746	107480
100.2192	1	10	1	1185.5	1	6	6	0	1	0	16	0.75	114821	111902	113088
103.1373	1	30	-99	-99	1	6	6	0	1	0	16	0.75	114821	111902	113088
105.8895	1	10	2	2883.1	1	6	8	1	2	1	17	0.25	122663	117573	120456
110.9796	1	31	-99	-99	1	6	8	1	2	1	17	0.25	122663	117573	120456
114.3287	1	10	2	1196	1	5	6	1	2	1	18	0.25	129693	126012	127208
118.0094	1	31	-99	-99	1	5	6	1	2	1	18	0.25	129693	126012	127208
121.0767	1	10	2	1304	1	2	2	0	2	1	19	0.25	136524	132760	134064
124.8404	1	30	-99	-99	1	2	2	0	2	1	19	0.25	136524	132760	134064
127.4931	1	10	1	1143.5	1	8	3	1	1	1	20	0.25	142161	139176	140320
130.4775	1	31	-99	-99	1	8	3	1	1	1	20	0.25	142161	139176	140320
