onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0221	1	10	1	1454.9	1	5	6	0	1	1	1	0.25	63440	60289	61744
4.1723	1	30	-99	-99	1	5	6	0	1	1	1	0.25	63440	60289	61744
6.908	1	10	2	489	1	8	4	0	2	1	2	0.25	68878	66175	66664
9.6105	1	30	-99	-99	1	8	4	0	2	1	2	0.25	68878	66175	66664
12.8934	1	10	1	751.6	1	6	6	0	1	1	3	0.25	74830	72161	72912
15.5627	1	30	-99	-99	1	6	6	0	1	1	3	0.25	74830	72161	72912
18.6466	1	10	1	446.4	1	2	5	1	1	1	4	0.25	80053	77914	78360
20.7854	1	31	-99	-99	1	2	5	1	1	1	4	0.25	80053	77914	78360
23.5045	1	10	2	292.5	1	5	4	1	2	1	5	0.25	84645	82772	83064
25.378	1	31	-99	-99	1	5	4	1	2	1	5	0.25	84645	82772	83064
28.7272	1	10	1	573.7	1	7	4	0	1	1	6	0.25	90962	87994	88568
31.695	1	30	-99	-99	1	7	4	0	1	1	6	0.25	90962	87994	88568
34.7789	1	10	1	978.1	1	3	4	0	1	1	7	0.25	97147	94046	95024
37.8793	1	30	-99	-99	1	3	4	0	1	1	7	0.25	97147	94046	95024
41.3445	1	10	2	468.4	1	6	5	0	2	1	8	0.25	103248	100612	101080
43.9807	1	30	-99	-99	1	6	5	0	2	1	8	0.25	103248	100612	101080
47.4294	1	10	2	1207.5	1	2	8	1	2	1	9	0.25	110178	106697	107904
50.9111	1	31	-99	-99	1	2	8	1	2	1	9	0.25	110178	106697	107904
54.3598	1	10	2	757.1	1	5	3	0	2	1	10	0.25	116661	113627	114384
57.3939	1	30	-99	-99	1	5	3	0	2	1	10	0.25	116661	113627	114384
59.9804	1	10	2	1408.5	1	5	5	0	2	1	11	0.25	122845	119248	120656
63.5782	1	30	-99	-99	1	5	5	0	2	1	11	0.25	122845	119248	120656
66.8942	1	10	1	894.7	1	8	3	0	1	1	12	0.25	129212	126161	127056
69.9449	1	30	-99	-99	1	8	3	0	1	1	12	0.25	129212	126161	127056
73.0619	1	10	1	431	1	5	5	0	1	1	13	0.25	134534	132329	132760
75.2671	1	30	-99	-99	1	5	5	0	1	1	13	0.25	134534	132329	132760
78.1686	1	10	1	460.3	1	6	7	1	1	1	14	0.25	139442	137436	137896
80.1747	1	31	-99	-99	1	6	7	1	1	1	14	0.25	139442	137436	137896
83.441	1	10	2	507.9	1	3	6	1	2	1	15	0.25	145643	142708	143216
86.3756	1	31	-99	-99	1	3	6	1	2	1	15	0.25	145643	142708	143216
89.1113	1	10	1	845.6	1	8	6	0	1	1	16	0.25	151031	148379	149224
91.7641	1	30	-99	-99	1	8	6	0	1	1	16	0.25	151031	148379	149224
95.2293	1	10	1	1103.6	1	8	6	1	1	0	17	0.75	157663	154497	155600
98.3961	1	31	-99	-99	1	8	6	1	1	0	17	0.75	157663	154497	155600
101.3473	1	10	2	473.6	1	2	8	0	2	0	18	0.75	163118	160615	161088
103.8509	1	30	-99	-99	1	2	8	0	2	0	18	0.75	163118	160615	161088
106.9348	1	10	2	334.1	1	6	4	0	2	0	19	0.75	168109	166202	166536
108.8414	1	30	-99	-99	1	6	4	0	2	0	19	0.75	168109	166202	166536
111.5274	1	10	2	1717.5	1	4	5	0	2	0	20	0.75	174111	170795	172512
114.8434	1	30	-99	-99	1	4	5	0	2	0	20	0.75	174111	170795	172512
118.3086	1	10	1	784.2	1	7	5	1	1	0	21	0.75	180809	177576	178360
121.5417	1	31	-99	-99	1	7	5	1	1	0	21	0.75	180809	177576	178360
124.4266	1	10	1	554.2	1	7	2	1	1	0	22	0.75	186479	183694	184248
127.212	1	31	-99	-99	1	7	2	1	1	0	22	0.75	186479	183694	184248
130.3954	1	10	1	497.4	1	4	8	1	1	0	23	0.75	192050	189663	190160
132.7829	1	31	-99	-99	1	4	8	1	1	0	23	0.75	192050	189663	190160
135.9662	1	10	1	406.6	1	4	4	1	1	0	24	0.75	198102	195233	195640
138.8346	1	31	-99	-99	1	4	4	1	1	0	24	0.75	198102	195233	195640
142.2168	1	10	1	1100	1	4	3	1	1	0	25	0.75	204949	201484	202584
145.682	1	31	-99	-99	1	4	3	1	1	0	25	0.75	204949	201484	202584
148.4841	1	10	1	976.7	1	2	7	0	1	0	26	0.75	210702	207751	208728
151.4353	1	30	-99	-99	1	2	7	0	1	0	26	0.75	210702	207751	208728
154.8342	1	10	2	498.6	1	7	3	0	2	0	27	0.75	216157	214101	214600
156.8901	1	30	-99	-99	1	7	3	0	2	0	27	0.75	216157	214101	214600
159.6092	1	10	1	419.6	1	5	7	0	1	0	28	0.75	221794	218876	219296
162.5273	1	30	-99	-99	1	5	7	0	1	0	28	0.75	221794	218876	219296
165.9925	1	10	1	420.3	1	5	4	1	1	0	29	0.75	228128	225260	225680
168.8608	1	31	3	4480	1	5	4	1	1	0	29	0.75	228128	225260	225680
174.3653	1	10	1	4063.5	1	3	8	0	1	1	30	0.15	240066	233633	237696
180.7984	1	30	-99	-99	1	3	8	0	1	1	30	0.15	240066	233633	237696
184.2967	1	10	2	364.1	1	8	5	0	2	1	31	0.15	245736	243564	243928
186.4687	1	30	-99	-99	1	8	5	0	2	1	31	0.15	245736	243564	243928
189.851	1	10	2	369.8	1	8	7	1	2	1	32	0.15	251439	249118	249488
192.1722	1	31	-99	-99	1	8	7	1	2	1	32	0.15	251439	249118	249488
195.2063	1	10	2	702.5	1	8	6	1	2	1	33	0.15	257375	254474	255176
198.1078	1	31	-99	-99	1	8	6	1	2	1	33	0.15	257375	254474	255176
201.3575	1	10	2	655.3	1	2	8	1	2	1	34	0.15	263195	260625	261280
203.9274	1	31	-99	-99	1	2	8	1	2	1	34	0.15	263195	260625	261280
207.2102	1	10	2	146.5	1	8	7	1	2	1	35	0.15	268268	266477	266624
209.0008	1	31	-99	-99	1	8	7	1	2	1	35	0.15	268268	266477	266624
212.5158	1	10	2	584.9	1	8	6	1	2	1	36	0.15	274170	271783	272368
214.9033	1	31	2	1205.5	1	8	6	1	2	1	36	0.15	274170	271783	272368
218.3353	1	10	2	605.4	1	5	6	1	2	1	37	0.15	280305	277603	278208
221.0378	1	31	-99	-99	1	5	6	1	2	1	37	0.15	280305	277603	278208
224.4699	1	10	2	598.8	1	8	8	1	2	1	38	0.15	285909	283737	284336
226.6419	1	31	-99	-99	1	8	8	1	2	1	38	0.15	285909	283737	284336
229.9413	1	10	2	655.4	1	3	6	1	2	1	39	0.15	291878	289208	289864
232.6106	1	31	-99	-99	1	3	6	1	2	1	39	0.15	291878	289208	289864
235.8769	1	10	2	495.9	1	2	6	1	2	1	40	0.15	297465	295144	295640
238.1981	1	31	-99	-99	1	2	6	1	2	1	40	0.15	297465	295144	295640
241.5141	1	10	2	354.6	1	5	7	1	2	1	41	0.15	303102	300781	301136
243.8353	1	31	2	2953.4	1	5	7	1	2	1	41	0.15	303102	300781	301136
247.1015	1	10	2	631.2	1	2	4	1	2	1	42	0.15	309303	306369	307000
250.0362	1	31	-99	-99	1	2	4	1	2	1	42	0.15	309303	306369	307000
252.6392	1	10	2	365.5	1	5	5	1	2	1	43	0.15	314377	311906	312272
255.1096	1	31	-99	-99	1	5	5	1	2	1	43	0.15	314377	311906	312272
257.7458	1	10	2	442.9	1	2	4	1	2	1	44	0.15	319401	317013	317456
260.1333	1	31	-99	-99	1	2	4	1	2	1	44	0.15	319401	317013	317456
263.2172	1	10	2	435.5	1	8	3	1	2	1	45	0.15	325436	322484	322920
266.1684	1	31	-99	-99	1	8	3	1	2	1	45	0.15	325436	322484	322920
268.9704	1	10	2	906.3	1	3	4	0	2	0	46	0.85	331603	328238	329144
272.3362	1	30	-99	-99	1	3	4	0	2	0	46	0.85	331603	328238	329144
274.8729	1	10	2	1251.8	1	7	6	0	2	0	47	0.85	337091	334140	335392
277.8241	1	30	-99	-99	1	7	6	0	2	0	47	0.85	337091	334140	335392
280.5101	1	10	2	638.5	1	8	8	0	2	0	48	0.85	341949	339777	340416
282.682	1	30	-99	-99	1	8	8	0	2	0	48	0.85	341949	339777	340416
285.2022	1	10	1	602.4	1	6	4	1	1	0	49	0.85	347404	344469	345072
288.1368	1	31	-99	-99	1	6	4	1	1	0	49	0.85	347404	344469	345072
