onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0241	1	10	2	3990.6	1	3	3	0	2	0	1	0.75	20531	14578	18569
6.9763	1	30	-99	-99	1	3	3	0	2	0	1	0.75	20531	14578	18569
10.4581	1	10	1	764.6	1	2	4	1	1	0	2	0.75	26831	24012	24777
13.2767	1	31	-99	-99	1	2	4	1	1	0	2	0.75	26831	24012	24777
16.46	1	10	1	738.7	1	2	6	1	1	0	3	0.75	33082	30014	30753
19.5273	1	31	-99	-99	1	2	6	1	1	0	3	0.75	33082	30014	30753
22.1469	1	10	1	139.7	1	2	4	1	1	0	4	0.75	37492	35701	35841
23.9376	1	31	-99	-99	1	2	4	1	1	0	4	0.75	37492	35701	35841
27.2038	1	10	1	994.8	1	6	4	0	1	0	5	0.75	43643	40758	41753
30.0887	1	30	-99	-99	1	6	4	0	1	0	5	0.75	43643	40758	41753
33.3052	1	10	2	685.4	1	3	8	0	2	0	6	0.75	49579	46860	47545
36.0243	1	30	-99	-99	1	3	8	0	2	0	6	0.75	49579	46860	47545
39.0584	1	10	2	652.2	1	6	7	1	2	0	7	0.75	55249	52613	53265
41.6946	1	31	-99	-99	1	6	7	1	2	0	7	0.75	55249	52613	53265
45.0106	1	10	2	948	1	8	5	1	2	0	8	0.75	61897	58565	59513
48.3432	1	31	-99	-99	1	8	5	1	2	0	8	0.75	61897	58565	59513
51.3607	1	10	2	885.9	1	5	7	0	2	0	9	0.75	67551	64915	65801
53.9969	1	30	-99	-99	1	5	7	0	2	0	9	0.75	67551	64915	65801
56.8321	1	10	1	1574.5	1	5	5	1	1	0	10	0.75	74349	70386	71961
60.7947	1	31	-99	-99	1	5	5	1	1	0	10	0.75	74349	70386	71961
63.4143	1	10	1	792.3	1	6	8	0	1	0	11	0.75	80086	76969	77761
66.5314	1	30	-99	-99	1	6	8	0	1	0	11	0.75	80086	76969	77761
69.5655	1	10	1	841.1	1	8	6	1	1	0	12	0.75	85474	83120	83961
71.9198	1	31	-99	-99	1	8	6	1	1	0	12	0.75	85474	83120	83961
75.0037	1	10	1	1314.9	1	2	5	1	1	0	13	0.75	92222	88558	89873
78.6679	1	31	-99	-99	1	2	5	1	1	0	13	0.75	92222	88558	89873
81.3372	1	10	1	669.3	1	7	3	1	1	0	14	0.75	98042	94892	95561
84.4874	1	31	-99	-99	1	7	3	1	1	0	14	0.75	98042	94892	95561
87.6873	1	10	1	711.2	1	4	8	0	1	0	15	0.75	103496	101242	101953
89.9422	1	30	-99	-99	1	4	8	0	1	0	15	0.75	103496	101242	101953
93.0095	1	10	2	1213	1	4	7	0	2	0	16	0.75	109349	106564	107777
95.7949	1	30	-99	-99	1	4	7	0	2	0	16	0.75	109349	106564	107777
98.6964	1	10	2	1478.1	1	3	2	0	2	0	17	0.75	115434	112251	113729
101.8797	1	30	-99	-99	1	3	2	0	2	0	17	0.75	115434	112251	113729
105.0631	1	10	1	855.4	1	3	2	0	1	1	18	0.25	121071	118617	119473
107.5169	1	30	-99	-99	1	3	2	0	1	1	18	0.25	121071	118617	119473
110.7832	1	10	2	743.3	1	4	5	0	2	1	19	0.25	126659	124337	125081
113.1043	1	30	-99	-99	1	4	5	0	2	1	19	0.25	126659	124337	125081
116.553	1	10	2	1045.5	1	5	7	0	2	1	20	0.25	133390	130107	131153
119.8358	1	30	-99	-99	1	5	7	0	2	1	20	0.25	133390	130107	131153
122.6378	1	10	1	472.6	1	4	6	0	1	1	21	0.25	138464	136192	136665
124.9092	1	30	-99	-99	1	4	6	0	1	1	21	0.25	138464	136192	136665
127.9102	1	10	1	808.2	1	7	3	0	1	1	22	0.25	144598	141464	142273
131.0438	1	30	-99	-99	1	7	3	0	1	1	22	0.25	144598	141464	142273
134.0613	1	10	2	705.1	1	3	7	0	2	1	23	0.25	150733	147616	148321
137.1784	1	30	-99	-99	1	3	7	0	2	1	23	0.25	150733	147616	148321
140.6104	1	10	2	780	1	8	6	1	2	1	24	0.25	157331	154165	154945
143.7772	1	31	-99	-99	1	8	6	1	2	1	24	0.25	157331	154165	154945
147.2092	1	10	2	677.2	1	4	7	1	2	1	25	0.25	163018	160764	161441
149.4641	1	31	-99	-99	1	4	7	1	2	1	25	0.25	163018	160764	161441
