onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0287	1	10	1	1046.1	1	4	2	0	1	0	1	0.25	24228	20846	21892
4.411	1	30	-99	-99	1	4	2	0	1	0	1	0.25	24228	20846	21892
6.9975	1	10	2	2389.3	1	8	2	0	2	0	2	0.25	31258	26814	29204
11.4409	1	30	-99	-99	1	8	2	0	2	0	2	0.25	31258	26814	29204
14.8729	1	10	2	553.9	1	5	7	1	2	0	3	0.25	37028	34690	35244
17.2107	1	31	-99	-99	1	5	7	1	2	0	3	0.25	37028	34690	35244
20.0625	1	10	2	996.3	1	5	6	1	2	0	4	0.25	42897	39879	40876
23.08	1	31	-99	-99	1	5	6	1	2	0	4	0.25	42897	39879	40876
26.0976	1	10	2	857.2	1	4	7	1	2	0	5	0.25	48319	45915	46772
28.5017	1	31	-99	-99	1	4	7	1	2	0	5	0.25	48319	45915	46772
31.171	1	10	2	783.8	1	7	6	1	2	0	6	0.25	53309	50988	51772
33.4922	1	31	-99	-99	1	7	6	1	2	0	6	0.25	53309	50988	51772
36.7088	1	10	2	638	1	7	2	1	2	0	7	0.25	58880	56526	57164
39.0631	1	31	-99	-99	1	7	2	1	2	0	7	0.25	58880	56526	57164
42.1636	1	10	2	751.2	1	2	3	1	2	0	8	0.25	64517	61981	62732
44.7003	1	31	-99	-99	1	2	3	1	2	0	8	0.25	64517	61981	62732
47.6681	1	10	2	582.7	1	6	2	1	2	0	9	0.25	70038	67485	68068
50.2214	1	31	-99	-99	1	6	2	1	2	0	9	0.25	70038	67485	68068
53.2224	1	10	2	716.3	1	6	5	0	2	0	10	0.25	76024	73039	73756
56.2068	1	30	-99	-99	1	6	5	0	2	0	10	0.25	76024	73039	73756
59.5725	1	10	2	1118.3	1	2	7	1	2	0	11	0.25	82855	79390	80508
63.0377	1	31	-99	-99	1	2	7	1	2	0	11	0.25	82855	79390	80508
66.2376	1	10	2	909.2	1	8	4	1	2	0	12	0.25	89288	86055	86964
69.4707	1	31	-99	-99	1	8	4	1	2	0	12	0.25	89288	86055	86964
72.6044	1	10	2	766.4	1	3	2	1	2	0	13	0.25	95439	92421	93188
75.6219	1	31	-99	-99	1	3	2	1	2	0	13	0.25	95439	92421	93188
78.5234	1	10	2	1079.4	1	3	4	1	2	0	14	0.25	101408	98340	99420
81.5907	1	31	-99	-99	1	3	4	1	2	0	14	0.25	101408	98340	99420
84.9398	1	10	2	783	1	8	6	0	2	0	15	0.25	107294	104757	105540
87.4766	1	30	-99	-99	1	8	6	0	2	0	15	0.25	107294	104757	105540
90.8423	1	10	1	1456.5	1	4	4	0	1	0	16	0.25	114290	110659	112116
94.4733	1	30	-99	-99	1	4	4	0	1	0	16	0.25	114290	110659	112116
97.839	1	10	2	1155.8	1	7	2	0	2	0	17	0.25	121254	117656	118812
101.4369	1	30	-99	-99	1	7	2	0	2	0	17	0.25	121254	117656	118812
103.9736	1	10	2	773.2	1	7	4	1	2	0	18	0.25	126311	123791	124564
106.4938	1	31	-99	-99	1	7	4	1	2	0	18	0.25	126311	123791	124564
109.1466	1	10	2	808.2	1	5	3	0	2	1	19	0.75	132064	128964	129772
112.247	1	30	-99	-99	1	5	3	0	2	1	19	0.75	132064	128964	129772
115.2977	1	10	2	417.1	1	4	4	0	2	1	20	0.75	137419	135115	135532
117.6024	1	30	-99	-99	1	4	4	0	2	1	20	0.75	137419	135115	135532
120.338	1	10	2	1432.8	1	8	8	1	2	1	21	0.75	144051	140155	141588
124.2343	1	31	-99	-99	1	8	8	1	2	1	21	0.75	144051	140155	141588
127.6498	1	10	2	673	1	4	4	0	2	1	22	0.75	150103	147467	148140
130.286	1	30	-99	-99	1	4	4	0	2	1	22	0.75	150103	147467	148140
133.6352	1	10	2	1519.6	1	2	5	0	2	1	23	0.75	156652	153452	154972
136.8351	1	30	-99	-99	1	2	5	0	2	1	23	0.75	156652	153452	154972
139.5874	1	10	2	1335.4	1	2	6	0	2	1	24	0.75	163035	159404	160740
143.2184	1	30	-99	-99	1	2	6	0	2	1	24	0.75	163035	159404	160740
146.667	1	10	1	615.8	1	6	3	1	1	1	25	0.75	169452	166484	167100
149.6348	1	31	-99	-99	1	6	3	1	1	1	25	0.75	169452	166484	167100
152.9508	1	10	1	804	1	6	2	0	1	1	26	0.75	175305	172768	173572
155.4875	1	30	-99	-99	1	6	2	0	1	1	26	0.75	175305	172768	173572
158.903	1	10	2	323.8	1	4	4	0	2	1	27	0.75	181489	178720	179044
161.6719	1	30	-99	-99	1	4	4	0	2	1	27	0.75	181489	178720	179044
164.5402	1	10	2	1270.6	1	7	8	0	2	1	28	0.75	187474	184357	185628
167.6572	1	30	-99	-99	1	7	8	0	2	1	28	0.75	187474	184357	185628
171.139	1	10	1	2135.8	1	6	3	1	1	1	29	0.75	194919	190956	193092
175.1016	1	31	-99	-99	1	6	3	1	1	1	29	0.75	194919	190956	193092
178.5171	1	10	2	1805.7	1	4	5	0	2	1	30	0.75	201932	198334	200140
182.115	1	30	-99	-99	1	4	5	0	2	1	30	0.75	201932	198334	200140
185.4641	1	10	1	1346.7	1	4	3	1	1	1	31	0.75	208779	205281	206628
188.9625	1	31	-99	-99	1	4	3	1	1	1	31	0.75	208779	205281	206628
191.9469	1	10	1	1495.9	1	7	6	1	1	1	32	0.75	215329	211764	213260
195.5116	1	31	3	4963.2	1	7	6	1	1	1	32	0.75	215329	211764	213260
201.4969	1	10	2	1297.9	1	4	8	0	2	0	33	0.85	224696	221314	222612
204.8792	1	30	-99	-99	1	4	8	0	2	0	33	0.85	224696	221314	222612
207.4823	1	10	2	672.5	1	7	8	0	2	0	34	0.85	230433	227299	227972
210.6159	1	30	-99	-99	1	7	8	0	2	0	34	0.85	230433	227299	227972
213.3682	1	10	1	730.6	1	4	7	1	1	0	35	0.85	235656	233185	233916
215.8386	1	31	-99	-99	1	4	7	1	1	0	35	0.85	235656	233185	233916
219.2043	1	10	1	430.5	1	3	4	1	1	0	36	0.85	241923	239021	239452
222.1058	1	31	-99	-99	1	3	4	1	1	0	36	0.85	241923	239021	239452
225.1399	1	10	1	718.9	1	5	8	1	1	0	37	0.85	247328	244957	245676
227.5109	1	31	-99	-99	1	5	8	1	1	0	37	0.85	247328	244957	245676
230.2134	1	10	1	757.4	1	6	8	1	1	0	38	0.85	252799	250030	250788
232.9823	1	31	-99	-99	1	6	8	1	1	0	38	0.85	252799	250030	250788
235.834	1	10	1	832.8	1	3	7	1	1	0	39	0.85	258387	255651	256484
238.5697	1	31	-99	-99	1	3	7	1	1	0	39	0.85	258387	255651	256484
241.7696	1	10	1	681.2	1	8	2	1	1	0	40	0.85	264521	261587	262268
244.7043	1	31	-99	-99	1	8	2	1	1	0	40	0.85	264521	261587	262268
247.6224	1	10	1	764.4	1	2	6	1	1	0	41	0.85	270722	267439	268204
250.9052	1	31	-99	-99	1	2	6	1	1	0	41	0.85	270722	267439	268204
254.0056	1	10	1	829.2	1	8	7	1	1	0	42	0.85	276591	273823	274652
256.7745	1	31	-99	-99	1	8	7	1	1	0	42	0.85	276591	273823	274652
259.9247	1	10	1	1238.1	1	3	6	1	1	0	43	0.85	283456	279742	280980
263.6386	1	31	-99	-99	1	3	6	1	1	0	43	0.85	283456	279742	280980
266.822	1	10	1	740.8	1	2	7	1	1	0	44	0.85	289325	286639	287380
269.5079	1	31	-99	-99	1	2	7	1	1	0	44	0.85	289325	286639	287380
272.4425	1	10	1	640.3	1	3	3	1	1	0	45	0.85	295128	292260	292900
275.3109	1	31	-99	-99	1	3	3	1	1	0	45	0.85	295128	292260	292900
277.9968	1	10	1	918	1	2	4	1	1	0	46	0.85	300516	297814	298732
280.6994	1	31	-99	-99	1	2	4	1	1	0	46	0.85	300516	297814	298732
283.2195	1	10	1	999.3	1	2	2	1	1	0	47	0.85	305722	303037	304036
285.9055	1	31	-99	-99	1	2	2	1	1	0	47	0.85	305722	303037	304036
289.3707	1	10	1	672.1	1	2	8	1	1	0	48	0.85	311658	309188	309860
291.8411	1	31	-99	-99	1	2	8	1	1	0	48	0.85	311658	309188	309860
295.1405	1	10	1	886.3	1	5	5	1	1	1	49	0.15	317909	314958	315844
298.0917	1	31	-99	-99	1	5	5	1	1	1	49	0.15	317909	314958	315844
301.2585	1	10	1	688.3	1	3	2	0	1	1	50	0.15	323579	321076	321764
303.7621	1	30	-99	-99	1	3	2	0	1	1	50	0.15	323579	321076	321764
306.9786	1	10	2	880.3	1	3	7	1	2	1	51	0.15	329564	326796	327676
309.7474	1	31	-99	-99	1	3	7	1	2	1	51	0.15	329564	326796	327676
313.0634	1	10	2	315.4	1	2	5	0	2	1	52	0.15	335367	332880	333196
315.5504	1	30	-99	-99	1	2	5	0	2	1	52	0.15	335367	332880	333196
318.2198	1	10	2	311.1	1	2	2	1	2	1	53	0.15	340259	338037	338348
320.4415	1	31	-99	-99	1	2	2	1	2	1	53	0.15	340259	338037	338348
323.8072	1	10	2	875.7	1	4	2	1	2	1	54	0.15	346377	343624	344500
326.5595	1	31	-99	-99	1	4	2	1	2	1	54	0.15	346377	343624	344500
329.776	1	10	2	1002.8	1	5	3	1	2	1	55	0.15	352892	349593	350596
333.0754	1	31	2	1887.5	1	5	3	1	2	1	55	0.15	352892	349593	350596
336.1925	1	10	1	1530.4	1	8	3	1	1	1	56	0.15	359707	356009	357540
339.8898	1	31	-99	-99	1	8	3	1	1	1	56	0.15	359707	356009	357540
342.7747	1	10	1	660.2	1	7	3	0	1	1	57	0.15	365526	362592	363252
345.7094	1	30	-99	-99	1	7	3	0	1	1	57	0.15	365526	362592	363252
349.1746	1	10	1	1236.3	1	2	3	0	1	1	58	0.15	372589	368992	370228
352.7724	1	30	-99	-99	1	2	3	0	1	1	58	0.15	372589	368992	370228
355.79	1	10	2	420.8	1	7	2	1	2	1	59	0.15	378111	375607	376028
358.2936	1	31	-99	-99	1	7	2	1	2	1	59	0.15	378111	375607	376028
361.5432	1	10	2	771.6	1	2	7	0	2	1	60	0.15	384096	381360	382132
364.2789	1	30	3	4011.9	1	2	7	0	2	1	60	0.15	384096	381360	382132
369.3192	1	10	2	891.6	1	4	5	1	2	1	61	0.25	392303	389136	390028
372.486	1	31	-99	-99	1	4	5	1	2	1	61	0.25	392303	389136	390028
375.7357	1	10	2	331.1	1	7	4	1	2	1	62	0.25	398040	395553	395884
378.2227	1	31	-99	-99	1	7	4	1	2	1	62	0.25	398040	395553	395884
381.1407	1	10	2	854.1	1	5	7	1	2	1	63	0.25	403743	400958	401812
383.9262	1	31	-99	-99	1	5	7	1	2	1	63	0.25	403743	400958	401812
386.7779	1	10	2	1152.9	1	6	4	1	2	1	64	0.25	409845	406595	407748
390.0276	1	31	-99	-99	1	6	4	1	2	1	64	0.25	409845	406595	407748
392.8959	1	10	2	1179	1	5	2	1	2	1	65	0.25	415847	412713	413892
396.0295	1	31	-99	-99	1	5	2	1	2	1	65	0.25	415847	412713	413892
399.3621	1	10	2	1080.7	1	2	8	0	2	1	66	0.25	422528	419179	420260
402.7113	1	30	-99	-99	1	2	8	0	2	1	66	0.25	422528	419179	420260
406.0936	1	10	1	533.3	1	5	6	0	1	1	67	0.25	428049	425911	426444
408.2324	1	30	-99	-99	1	5	6	0	1	1	67	0.25	428049	425911	426444
411.681	1	10	2	417.9	1	2	2	1	2	1	68	0.25	433753	431498	431916
413.9359	1	31	-99	-99	1	2	2	1	2	1	68	0.25	433753	431498	431916
416.7877	1	10	2	735.2	1	2	4	1	2	1	69	0.25	439191	436605	437340
419.3741	1	31	-99	-99	1	2	4	1	2	1	69	0.25	439191	436605	437340
422.1927	1	10	2	546.2	1	6	3	0	2	1	70	0.25	444563	442010	442556
424.746	1	30	2	2576.9	1	6	3	0	2	1	70	0.25	444563	442010	442556
427.7138	1	10	1	1625.1	1	5	4	0	1	1	71	0.25	451560	447531	449156
431.7428	1	30	-99	-99	1	5	4	0	1	1	71	0.25	451560	447531	449156
434.7437	1	10	2	779.2	1	6	7	0	2	1	72	0.25	457114	454561	455340
437.2971	1	30	-99	-99	1	6	7	0	2	1	72	0.25	457114	454561	455340
439.8503	1	10	2	400.6	1	6	5	0	2	1	73	0.25	462088	459667	460068
442.271	1	30	-99	-99	1	6	5	0	2	1	73	0.25	462088	459667	460068
445.073	1	10	1	457.9	1	4	2	0	1	1	74	0.25	467808	464890	465348
447.9911	1	30	-99	-99	1	4	2	0	1	1	74	0.25	467808	464890	465348
450.8097	1	10	1	1705.2	1	3	3	0	1	1	75	0.25	474274	470627	472332
454.4573	1	30	-99	-99	1	3	3	0	1	1	75	0.25	474274	470627	472332
457.193	1	10	1	273.9	1	2	4	1	1	1	76	0.25	479795	477010	477284
459.9784	1	31	-99	-99	1	2	4	1	1	1	76	0.25	479795	477010	477284
462.7307	1	10	2	776.2	1	3	2	0	2	1	77	0.25	484919	482548	483324
465.1016	1	30	2	3277.3	1	3	2	0	2	1	77	0.25	484919	482548	483324
468.6	1	10	-99	-99	1	7	8	0	2	0	78	0.75	507020	488417	504884
487.2027	1	30	-99	-99	1	7	8	0	2	0	78	0.75	507020	488417	504884
490.1539	1	10	1	1865	1	7	7	1	1	0	79	0.75	514249	509971	511836
494.4316	1	31	-99	-99	1	7	7	1	1	0	79	0.75	514249	509971	511836
497.2667	1	10	1	1536.2	1	4	8	0	1	0	80	0.75	520466	517084	518620
500.649	1	30	-99	-99	1	4	8	0	1	0	80	0.75	520466	517084	518620
503.7329	1	10	1	1342	1	5	7	1	1	0	81	0.75	527330	523550	524892
507.5131	1	31	-99	-99	1	5	7	1	1	0	81	0.75	527330	523550	524892
510.8457	1	10	1	549.2	1	6	5	1	1	0	82	0.75	532884	530663	531212
513.0674	1	31	-99	-99	1	6	5	1	1	0	82	0.75	532884	530663	531212
515.7202	1	10	1	482.7	1	8	8	1	1	0	83	0.75	537908	535537	536020
518.0912	1	31	-99	-99	1	8	8	1	1	0	83	0.75	537908	535537	536020
