onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0266	1	10	1	1117.8	1	6	3	0	1	1	1	0.15	22222	18790	19908
4.4587	1	30	-99	-99	1	6	3	0	1	1	1	0.15	22222	18790	19908
7.4597	1	10	2	444.7	1	2	3	1	2	1	2	0.15	28174	25223	25667
10.4109	1	31	-99	-99	1	2	3	1	2	1	2	0.15	28174	25223	25667
13.1963	1	10	2	340.1	1	8	3	1	2	1	3	0.15	33761	30959	31300
15.9984	1	31	-99	-99	1	8	3	1	2	1	3	0.15	33761	30959	31300
18.8667	1	10	2	405.7	1	6	7	1	2	1	4	0.15	39465	36630	37036
21.7019	1	31	-99	-99	1	6	7	1	2	1	4	0.15	39465	36630	37036
24.3215	1	10	2	470.9	1	6	2	1	2	1	5	0.15	44174	42085	42556
26.4106	1	31	-99	-99	1	6	2	1	2	1	5	0.15	44174	42085	42556
29.2623	1	10	2	410.1	1	2	2	1	2	1	6	0.15	49811	47025	47435
32.0478	1	31	2	792.6	1	2	2	1	2	1	6	0.15	49811	47025	47435
35.513	1	10	2	303.4	1	5	5	1	2	1	7	0.15	55514	53276	53579
37.7513	1	31	-99	-99	1	5	5	1	2	1	7	0.15	55514	53276	53579
41.0009	1	10	2	695.5	1	7	6	1	2	1	8	0.15	61218	58764	59460
43.4548	1	31	-99	-99	1	7	6	1	2	1	8	0.15	61218	58764	59460
46.7376	1	10	2	430.8	1	3	2	1	2	1	9	0.15	67087	64501	64931
49.3241	1	31	2	756.3	1	3	2	1	2	1	9	0.15	67087	64501	64931
52.325	1	10	2	835.4	1	5	6	1	2	1	10	0.15	72559	70088	70924
54.7955	1	31	-99	-99	1	5	6	1	2	1	10	0.15	72559	70088	70924
57.5146	1	10	2	405.8	1	2	7	1	2	1	11	0.15	77848	75278	75684
60.0845	1	31	-99	-99	1	2	7	1	2	1	11	0.15	77848	75278	75684
63.0191	1	10	2	733.3	1	7	5	1	2	1	12	0.15	83717	80782	81515
65.9538	1	31	-99	-99	1	7	5	1	2	1	12	0.15	83717	80782	81515
68.7558	1	10	2	324.6	1	7	6	1	2	1	13	0.15	89238	86519	86843
71.4749	1	31	2	1621.5	1	7	6	1	2	1	13	0.15	89238	86519	86843
74.708	1	10	2	492.4	1	4	8	1	2	1	14	0.15	94726	92471	92964
76.9629	1	31	-99	-99	1	4	8	1	2	1	14	0.15	94726	92471	92964
79.6157	1	10	2	504.7	1	6	5	1	2	1	15	0.15	99667	97379	97883
81.9037	1	31	2	1144.7	1	6	5	1	2	1	15	0.15	99667	97379	97883
85.4186	1	10	2	437.8	1	8	4	1	2	1	16	0.15	105470	103182	103619
87.7067	1	31	-99	-99	1	8	4	1	2	1	16	0.15	105470	103182	103619
90.8237	1	10	2	328.7	1	4	5	1	2	1	17	0.15	111223	108587	108915
93.4599	1	31	-99	-99	1	4	5	1	2	1	17	0.15	111223	108587	108915
96.9749	1	10	2	337.5	1	4	2	0	2	0	18	0.85	117374	114738	115075
99.6111	1	30	-99	-99	1	4	2	0	2	0	18	0.85	117374	114738	115075
102.7944	1	10	2	390	1	7	6	1	2	0	19	0.85	122481	120558	120947
104.7177	1	31	2	1690.7	1	7	6	1	2	0	19	0.85	122481	120558	120947
107.9011	1	10	2	595.3	1	5	2	0	2	0	20	0.85	128201	125664	126259
110.4378	1	30	-99	-99	1	5	2	0	2	0	20	0.85	128201	125664	126259
113.7372	1	10	1	319.2	1	7	5	1	1	0	21	0.85	133540	131500	131819
115.7765	1	31	-99	-99	1	7	5	1	1	0	21	0.85	133540	131500	131819
118.4127	1	10	1	547.7	1	8	6	0	1	0	22	0.85	138348	136176	136723
120.5847	1	30	-99	-99	1	8	6	0	1	0	22	0.85	138348	136176	136723
124.0168	1	10	2	271.6	1	7	2	0	2	0	23	0.85	144499	141780	142051
126.7359	1	30	-99	-99	1	7	2	0	2	0	23	0.85	144499	141780	142051
130.0353	1	10	1	269.1	1	6	4	1	1	0	24	0.85	149937	147798	148067
132.1741	1	31	-99	-99	1	6	4	1	1	0	24	0.85	149937	147798	148067
134.7109	1	10	1	441.5	1	4	7	1	1	0	25	0.85	154812	152474	152915
137.0486	1	31	-99	-99	1	4	7	1	1	0	25	0.85	154812	152474	152915
139.6185	1	10	1	357.9	1	7	8	1	1	0	26	0.85	160233	157382	157739
142.4703	1	31	1	546.1	1	7	8	1	1	0	26	0.85	160233	157382	157739
145.0733	1	10	1	551.1	1	7	4	1	1	0	27	0.85	165837	162836	163387
148.0743	1	31	1	838.1	1	7	4	1	1	0	27	0.85	165837	162836	163387
151.0421	1	10	1	742.3	1	6	6	1	1	0	28	0.85	171491	168805	169547
153.7281	1	31	-99	-99	1	6	6	1	1	0	28	0.85	171491	168805	169547
156.729	1	10	1	519.4	1	8	3	1	1	0	29	0.85	176780	174492	175011
159.0171	1	31	-99	-99	1	8	3	1	1	0	29	0.85	176780	174492	175011
161.8688	1	10	1	547.6	1	6	5	1	1	0	30	0.85	182218	179632	180179
164.4553	1	31	3	6929.1	1	6	5	1	1	0	30	0.85	182218	179632	180179
172.4137	1	10	2	474.7	1	5	4	1	2	1	31	0.25	192498	190177	190651
174.7349	1	31	2	289.4	1	5	4	1	2	1	31	0.25	192498	190177	190651
177.4042	1	10	2	284.1	1	8	2	1	2	1	32	0.25	197571	195167	195451
179.8083	1	31	-99	-99	1	8	2	1	2	1	32	0.25	197571	195167	195451
182.5108	1	10	2	329.5	1	7	8	0	2	1	33	0.25	202280	200274	200603
184.517	1	30	-99	-99	1	7	8	0	2	1	33	0.25	202280	200274	200603
187.6506	1	10	2	253.7	1	7	6	0	2	1	34	0.25	208133	205414	205667
190.3698	1	30	1	2182.6	1	7	6	0	2	1	34	0.25	208133	205414	205667
193.0889	1	10	1	183.5	1	8	2	0	1	1	35	0.25	212808	210852	211035
195.0453	1	30	-99	-99	1	8	2	0	1	1	35	0.25	212808	210852	211035
198.5105	1	10	1	385.9	1	6	8	0	1	1	36	0.25	218346	216274	216659
200.583	1	30	2	2473.4	1	6	8	0	1	1	36	0.25	218346	216274	216659
203.4182	1	10	2	166.2	1	6	4	1	2	1	37	0.25	223536	221181	221347
205.7725	1	31	-99	-99	1	6	4	1	2	1	37	0.25	223536	221181	221347
208.6243	1	10	2	448.1	1	5	3	1	2	1	38	0.25	228510	226387	226835
210.7465	1	31	-99	-99	1	5	3	1	2	1	38	0.25	228510	226387	226835
213.9299	1	10	2	1238.5	1	6	8	1	2	1	39	0.25	234843	231693	232931
217.0801	1	31	-99	-99	1	6	8	1	2	1	39	0.25	234843	231693	232931
219.9318	1	10	2	484.6	1	3	6	1	2	1	40	0.25	240016	237695	238179
222.253	1	31	-99	-99	1	3	6	1	2	1	40	0.25	240016	237695	238179
225.0053	1	10	2	379	1	4	6	1	2	1	41	0.25	245570	242768	243147
227.8073	1	31	-99	-99	1	4	6	1	2	1	41	0.25	245570	242768	243147
231.2891	1	10	2	311.3	1	2	5	0	2	1	42	0.25	251755	249052	249363
233.9916	1	30	-99	-99	1	2	5	0	2	1	42	0.25	251755	249052	249363
236.9428	1	10	1	369.6	1	2	6	0	1	1	43	0.25	256895	254706	255075
239.1314	1	30	-99	-99	1	2	6	0	1	1	43	0.25	256895	254706	255075
242.265	1	10	2	231.4	1	3	3	1	2	1	44	0.25	262681	260028	260259
244.9178	1	31	-99	-99	1	3	3	1	2	1	44	0.25	262681	260028	260259
248.3333	1	10	2	307	1	5	7	1	2	1	45	0.25	268202	266096	266403
250.4389	1	31	-99	-99	1	5	7	1	2	1	45	0.25	268202	266096	266403
253.5725	1	10	2	539.8	1	6	2	1	2	1	46	0.25	273541	271336	271875
255.7777	1	31	-99	-99	1	6	2	1	2	1	46	0.25	273541	271336	271875
258.2978	1	10	2	1598.6	1	5	7	0	2	1	47	0.25	279377	276061	277659
261.6138	1	30	-99	-99	1	5	7	0	2	1	47	0.25	279377	276061	277659
264.7972	1	10	1	627.2	1	8	7	0	1	1	48	0.25	285031	282560	283187
267.2676	1	30	-99	-99	1	8	7	0	1	1	48	0.25	285031	282560	283187
270.2354	1	10	2	284.9	1	5	2	1	2	0	49	0.75	289988	287998	288283
272.225	1	31	-99	-99	1	5	2	1	2	0	49	0.75	289988	287998	288283
275.027	1	10	2	781.4	1	2	8	1	2	0	50	0.75	295808	292790	293571
278.0445	1	31	-99	-99	1	2	8	1	2	0	50	0.75	295808	292790	293571
281.46	1	10	2	372.4	1	2	4	1	2	0	51	0.75	301528	299223	299595
283.7646	1	31	-99	-99	1	2	4	1	2	0	51	0.75	301528	299223	299595
286.8154	1	10	2	384.9	1	5	8	0	2	0	52	0.75	307032	304578	304963
289.2692	1	30	-99	-99	1	5	8	0	2	0	52	0.75	307032	304578	304963
292.0878	1	10	2	528.6	1	6	8	0	2	0	53	0.75	312520	309851	310379
294.7571	1	30	-99	-99	1	6	8	0	2	0	53	0.75	312520	309851	310379
298.0234	1	10	1	272.9	1	5	3	1	1	0	54	0.75	318456	315786	316059
300.6928	1	31	-99	-99	1	5	3	1	1	0	54	0.75	318456	315786	316059
303.7932	1	10	1	471.1	1	4	6	1	1	0	55	0.75	324325	321556	322027
306.5621	1	31	-99	-99	1	4	6	1	1	0	55	0.75	324325	321556	322027
309.1154	1	10	1	516.9	1	3	7	1	1	0	56	0.75	329050	326878	327395
311.2874	1	31	-99	-99	1	3	7	1	1	0	56	0.75	329050	326878	327395
314.4044	1	10	1	804	1	3	7	1	1	0	57	0.75	335069	332167	332971
317.3059	1	31	-99	-99	1	3	7	1	1	0	57	0.75	335069	332167	332971
320.1908	1	10	1	353.6	1	3	4	1	1	0	58	0.75	340690	337954	338307
322.9265	1	31	-99	-99	1	3	4	1	1	0	58	0.75	340690	337954	338307
326.3419	1	10	1	522.4	1	7	7	1	1	0	59	0.75	346907	344105	344627
329.144	1	31	-99	-99	1	7	7	1	1	0	59	0.75	346907	344105	344627
331.8133	1	10	1	4019.1	1	4	2	1	1	0	60	0.75	355728	349576	353595
