onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0307	1	10	2	872.4	1	4	6	0	2	0	1	0.85	16087	13517	14390
3.6006	1	30	-99	-99	1	4	6	0	2	0	1	0.85	16087	13517	14390
6.3695	1	10	1	525.6	1	7	7	1	1	0	2	0.85	21708	18856	19382
9.2212	1	31	-99	-99	1	7	7	1	1	0	2	0.85	21708	18856	19382
11.9403	1	10	1	586.7	1	8	3	1	1	0	3	0.85	27196	24427	25014
14.7092	1	31	-99	-99	1	8	3	1	1	0	3	0.85	27196	24427	25014
17.4946	1	10	1	568.4	1	8	8	1	1	0	4	0.85	32153	29981	30550
19.6666	1	31	-99	-99	1	8	8	1	1	0	4	0.85	32153	29981	30550
22.3359	1	10	1	855.1	1	4	7	1	1	0	5	0.85	37840	34823	35678
25.3535	1	31	-99	-99	1	4	7	1	1	0	5	0.85	37840	34823	35678
28.0395	1	10	1	575.5	1	5	6	1	1	0	6	0.85	42914	40526	41102
30.427	1	31	-99	-99	1	5	6	1	1	0	6	0.85	42914	40526	41102
33.2621	1	10	1	1824.9	1	3	4	1	1	0	7	0.85	49330	45749	47574
36.8434	1	31	-99	-99	1	3	4	1	1	0	7	0.85	49330	45749	47574
39.5625	1	10	2	868.6	1	6	3	0	2	0	8	0.85	55382	52049	52918
42.8951	1	30	-99	-99	1	6	3	0	2	0	8	0.85	55382	52049	52918
45.8795	1	10	1	1015.5	1	8	8	1	1	0	9	0.85	61632	58366	59382
49.1457	1	31	-99	-99	1	8	8	1	1	0	9	0.85	61632	58366	59382
52.6275	1	10	1	491.5	1	5	4	1	1	0	10	0.85	67850	65114	65606
55.3632	1	31	-99	-99	1	5	4	1	1	0	10	0.85	67850	65114	65606
58.4636	1	10	1	607.4	1	5	6	1	1	0	11	0.85	74067	70950	71558
61.5807	1	31	-99	-99	1	5	6	1	1	0	11	0.85	74067	70950	71558
65.0459	1	10	1	1905.1	1	6	6	1	1	0	12	0.85	81296	77532	79438
68.8095	1	31	-99	-99	1	6	6	1	1	0	12	0.85	81296	77532	79438
72.0426	1	10	1	1164.4	1	2	3	1	1	0	13	0.85	87447	84529	85694
74.9607	1	31	-99	-99	1	2	3	1	1	0	13	0.85	87447	84529	85694
77.9948	1	10	1	700.2	1	8	4	0	1	0	14	0.85	93648	90481	91182
81.1616	1	30	-99	-99	1	8	4	0	1	0	14	0.85	93648	90481	91182
84.5936	1	10	2	2741.4	1	6	5	0	2	0	15	0.85	102004	97080	99822
89.5179	1	30	-99	-99	1	6	5	0	2	0	15	0.85	102004	97080	99822
92.7509	1	10	1	1600.1	1	5	3	1	1	0	16	0.85	108570	105238	106838
96.0835	1	31	-99	-99	1	5	3	1	1	0	16	0.85	108570	105238	106838
99.4492	1	10	1	685.7	1	2	5	0	1	1	17	0.15	115053	111936	112622
102.5663	1	30	-99	-99	1	2	5	0	1	1	17	0.15	115053	111936	112622
105.7828	1	10	2	2104.1	1	5	2	1	2	1	18	0.15	122630	118269	120374
110.1433	1	31	-99	-99	1	5	2	1	2	1	18	0.15	122630	118269	120374
113.6417	1	10	2	3901.2	1	7	4	1	2	1	19	0.15	132180	126128	130030
119.6934	1	31	-99	-99	1	7	4	1	2	1	19	0.15	132180	126128	130030
122.7109	1	10	2	640	1	2	7	1	2	1	20	0.15	137502	135197	135838
125.0155	1	31	-99	-99	1	2	7	1	2	1	20	0.15	137502	135197	135838
128.4476	1	10	2	631.3	1	4	5	1	2	1	21	0.15	143554	140934	141566
131.0672	1	31	-99	-99	1	4	5	1	2	1	21	0.15	143554	140934	141566
134.0516	1	10	2	1099.3	1	6	2	1	2	1	22	0.15	149407	146538	147638
136.9199	1	31	-99	-99	1	6	2	1	2	1	22	0.15	149407	146538	147638
139.8877	1	10	2	1199.2	1	7	2	1	2	1	23	0.15	155806	152374	153574
143.3198	1	31	-99	-99	1	7	2	1	2	1	23	0.15	155806	152374	153574
146.0388	1	10	2	848.1	1	7	2	1	2	1	24	0.15	161659	158525	159374
149.1725	1	31	-99	-99	1	7	2	1	2	1	24	0.15	161659	158525	159374
152.5714	1	10	2	739.5	1	6	4	1	2	1	25	0.15	167479	165058	165798
154.992	1	31	-99	-99	1	6	4	1	2	1	25	0.15	167479	165058	165798
158.4407	1	10	2	878.2	1	2	8	1	2	1	26	0.15	173729	170927	171805
161.2427	1	31	-99	-99	1	2	8	1	2	1	26	0.15	173729	170927	171805
164.0281	1	10	2	7250.8	1	8	3	1	2	1	27	0.15	185352	176515	183765
172.8652	1	31	-99	-99	1	8	3	1	2	1	27	0.15	185352	176515	183765
175.8496	1	10	2	317.2	1	3	3	1	2	1	28	0.15	190972	188336	188653
178.4858	1	31	-99	-99	1	3	3	1	2	1	28	0.15	190972	188336	188653
181.4702	1	10	2	312.7	1	8	2	1	2	1	29	0.15	196576	193957	194269
184.0898	1	31	-99	-99	1	8	2	1	2	1	29	0.15	196576	193957	194269
187.124	1	10	2	394.8	1	7	6	1	2	1	30	0.15	201948	199611	200005
189.4617	1	31	-99	-99	1	7	6	1	2	1	30	0.15	201948	199611	200005
192.3301	1	10	2	212.7	1	5	5	1	2	1	31	0.15	207055	204817	205029
194.5683	1	31	-99	-99	1	5	5	1	2	1	31	0.15	207055	204817	205029
197.2377	1	10	2	1265.1	1	8	2	1	2	1	32	0.15	212792	209724	210989
200.305	1	31	-99	-99	1	8	2	1	2	1	32	0.15	212792	209724	210989
203.6376	1	10	2	353.3	1	6	8	0	2	1	33	0.15	218876	216124	216477
206.3898	1	30	3	2993.1	1	6	8	0	2	1	33	0.15	218876	216124	216477
210.4022	1	10	1	412.6	1	6	4	1	1	1	34	0.75	225707	222889	223301
213.2208	1	31	1	2482	1	6	4	1	1	1	34	0.75	225707	222889	223301
216.4207	1	10	1	1218.1	1	4	6	0	1	1	35	0.75	232174	228907	230125
219.687	1	30	-99	-99	1	4	6	0	1	1	35	0.75	232174	228907	230125
222.8537	1	10	2	393.1	1	3	4	0	2	1	36	0.75	237827	235340	235733
225.3407	1	30	-99	-99	1	3	4	0	2	1	36	0.75	237827	235340	235733
228.209	1	10	1	381.8	1	2	6	1	1	1	37	0.75	242951	240696	241077
230.4639	1	31	-99	-99	1	2	6	1	1	1	37	0.75	242951	240696	241077
233.5975	1	10	1	593.3	1	7	3	1	1	1	38	0.75	248969	246084	246677
236.4824	1	31	-99	-99	1	7	3	1	1	1	38	0.75	248969	246084	246677
239.8316	1	10	1	63.2	1	4	5	1	1	1	39	0.75	254540	252318	252381
242.0533	1	31	-99	-99	1	4	5	1	1	1	39	0.75	254540	252318	252381
244.8885	1	10	1	1342.3	1	5	8	1	1	1	40	0.75	260774	257375	258717
248.2873	1	31	-99	-99	1	5	8	1	1	1	40	0.75	260774	257375	258717
251.3215	1	10	1	3413.3	1	4	2	1	1	1	41	0.75	269412	263808	267221
256.9255	1	31	-99	-99	1	4	2	1	1	1	41	0.75	269412	263808	267221
259.8767	1	10	1	322	1	8	6	1	1	1	42	0.75	274452	272363	272685
261.9658	1	31	-99	-99	1	8	6	1	1	1	42	0.75	274452	272363	272685
264.5523	1	10	1	1070.4	1	5	5	1	1	1	43	0.75	280172	277039	278109
267.6859	1	31	-99	-99	1	5	5	1	1	1	43	0.75	280172	277039	278109
270.6371	1	10	1	305.6	1	5	5	1	1	1	44	0.75	285893	283124	283429
273.406	1	31	-99	-99	1	5	5	1	1	1	44	0.75	285893	283124	283429
276.6556	1	10	1	1991.1	1	6	6	1	1	1	45	0.75	293055	289142	291133
280.5685	1	31	-99	-99	1	6	6	1	1	1	45	0.75	293055	289142	291133
283.4866	1	10	1	264.1	1	8	7	1	1	1	46	0.75	298245	295973	296237
285.758	1	31	-99	-99	1	8	7	1	1	1	46	0.75	298245	295973	296237
288.9911	1	10	1	511.6	1	3	4	1	1	1	47	0.75	304462	301478	301989
291.9755	1	31	-99	-99	1	3	4	1	1	1	47	0.75	304462	301478	301989
295.4075	1	10	1	735.2	1	8	3	1	1	1	48	0.75	311011	307894	308629
298.5246	1	31	-99	-99	1	8	3	1	1	1	48	0.75	311011	307894	308629
301.5255	1	10	1	2809.2	1	7	4	1	1	1	49	0.75	318472	314012	316821
305.9855	1	31	-99	-99	1	7	4	1	1	1	49	0.75	318472	314012	316821
309.2352	1	10	1	547.5	1	2	4	1	1	1	50	0.75	324441	321722	322269
311.9543	1	31	-99	-99	1	2	4	1	1	1	50	0.75	324441	321722	322269
314.7232	1	10	1	4779.5	1	6	7	0	1	1	51	0.75	333576	327210	331989
321.0899	1	30	-99	-99	1	6	7	0	1	1	51	0.75	333576	327210	331989
324.1074	1	10	2	803.3	1	3	8	0	2	1	52	0.75	339363	336594	337397
326.8762	1	30	-99	-99	1	3	8	0	2	1	52	0.75	339363	336594	337397
329.8606	1	10	-99	-99	1	3	4	0	1	1	53	0.75	356374	342347	354709
