onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0258	1	10	1	964.3	1	7	6	0	1	1	1	0.15	18873	15673	16637
4.2258	1	30	-99	-99	1	7	6	0	1	1	1	0.15	18873	15673	16637
7.0278	1	10	2	274.3	1	6	2	1	2	1	2	0.15	23664	21675	21949
9.0174	1	31	-99	-99	1	6	2	1	2	1	2	0.15	23664	21675	21949
12.3665	1	10	2	351.6	1	8	5	0	2	1	3	0.15	29600	27013	27365
14.953	1	30	-99	-99	1	8	5	0	2	1	3	0.15	29600	27013	27365
18.1363	1	10	1	1781.8	1	5	6	0	1	1	4	0.15	37044	32783	34565
22.3974	1	30	-99	-99	1	5	6	0	1	1	4	0.15	37044	32783	34565
25.8626	1	10	1	1079.5	1	4	2	0	1	1	5	0.15	43809	40509	41589
29.162	1	30	-99	-99	1	4	2	0	1	1	5	0.15	43809	40509	41589
32.5111	1	10	2	559	1	3	7	1	2	1	6	0.15	49827	47158	47717
35.1805	1	31	-99	-99	1	3	7	1	2	1	6	0.15	49827	47158	47717
38.4799	1	10	2	654.2	1	6	7	0	2	1	7	0.15	56161	53127	53781
41.514	1	30	-99	-99	1	6	7	0	2	1	7	0.15	56161	53127	53781
44.9129	1	10	1	645.2	1	3	4	0	1	1	8	0.15	61898	59560	60205
47.2507	1	30	-99	-99	1	3	4	0	1	1	8	0.15	61898	59560	60205
50.5667	1	10	2	303.3	1	7	4	1	2	1	9	0.15	67684	65214	65517
53.0371	1	31	-99	-99	1	7	4	1	2	1	9	0.15	67684	65214	65517
55.8722	1	10	2	1069.8	1	5	4	1	2	1	10	0.15	73520	70519	71589
58.8732	1	31	-99	-99	1	5	4	1	2	1	10	0.15	73520	70519	71589
61.7747	1	10	2	727.3	1	3	6	0	2	1	11	0.15	79207	76422	77149
64.5601	1	30	1	2525.9	1	3	6	0	2	1	11	0.15	79207	76422	77149
67.4948	1	10	1	887.2	1	7	6	0	1	1	12	0.15	85209	82142	83029
70.5621	1	30	-99	-99	1	7	6	0	1	1	12	0.15	85209	82142	83029
73.8117	1	10	2	338.3	1	2	7	0	2	1	13	0.15	91145	88459	88797
76.4977	1	30	-99	-99	1	2	7	0	2	1	13	0.15	91145	88459	88797
79.1505	1	10	2	1063.5	1	5	6	1	2	1	14	0.15	96815	93797	94861
82.1681	1	31	-99	-99	1	5	6	1	2	1	14	0.15	96815	93797	94861
85.1193	1	10	2	1966.7	1	8	8	1	2	1	15	0.15	103994	99766	101733
89.3472	1	31	-99	-99	1	8	8	1	2	1	15	0.15	103994	99766	101733
