onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
17.7945	1	10	2	1021.5	1	2	6	1	2	0	1	0.25	24543	21343	22365
20.9944	1	31	-99	-99	1	2	6	1	2	0	1	0.25	24543	21343	22365
24.1777	1	10	2	414.3	1	4	7	1	2	0	2	0.25	30595	27726	28141
27.0461	1	31	-99	-99	1	4	7	1	2	0	2	0.25	30595	27726	28141
30.1465	1	10	2	445.5	1	3	3	1	2	0	3	0.25	36099	33695	34141
32.5506	1	31	-99	-99	1	3	3	1	2	0	3	0.25	36099	33695	34141
35.9163	1	10	2	379.7	1	7	6	1	2	0	4	0.25	41919	39465	39845
38.3702	1	31	-99	-99	1	7	6	1	2	0	4	0.25	41919	39465	39845
41.8354	1	10	2	284.6	1	2	7	0	2	0	5	0.25	47357	45384	45669
43.8084	1	30	-99	-99	1	2	7	0	2	0	5	0.25	47357	45384	45669
46.5607	1	10	2	583.3	1	8	6	1	2	0	6	0.25	52381	50109	50693
48.8321	1	31	-99	-99	1	8	6	1	2	0	6	0.25	52381	50109	50693
51.7502	1	10	2	633.8	1	5	7	0	2	0	7	0.25	57952	55299	55933
54.403	1	30	-99	-99	1	5	7	0	2	0	7	0.25	57952	55299	55933
57.9179	1	10	1	1370.1	1	8	2	0	1	0	8	0.25	64385	61467	62837
60.836	1	30	-99	-99	1	8	2	0	1	0	8	0.25	64385	61467	62837
64.0194	1	10	2	412.6	1	5	8	1	2	0	9	0.25	69541	67568	67981
65.9924	1	31	-99	-99	1	5	8	1	2	0	9	0.25	69541	67568	67981
69.325	1	10	2	291	1	8	2	1	2	0	10	0.25	75659	72874	73165
72.1104	1	31	-99	-99	1	8	2	1	2	0	10	0.25	75659	72874	73165
74.9455	1	10	2	630.5	1	2	5	1	2	0	11	0.25	80998	78494	79125
77.4491	1	31	-99	-99	1	2	5	1	2	0	11	0.25	80998	78494	79125
80.8812	1	10	2	406.8	1	5	6	1	2	0	12	0.25	87016	84430	84837
83.4677	1	31	-99	-99	1	5	6	1	2	0	12	0.25	87016	84430	84837
86.6842	1	10	2	531.8	1	2	5	0	2	0	13	0.25	92637	90233	90765
89.0883	1	30	-99	-99	1	2	5	0	2	0	13	0.25	92637	90233	90765
92.255	1	10	2	785	1	3	7	0	2	0	14	0.25	98738	95804	96589
95.1897	1	30	-99	-99	1	3	7	0	2	0	14	0.25	98738	95804	96589
98.1243	1	10	1	355.7	1	6	6	0	1	0	15	0.25	103663	101673	102029
100.1139	1	30	-99	-99	1	6	6	0	1	0	15	0.25	103663	101673	102029
103.2973	1	10	2	638.7	1	2	5	1	2	0	16	0.25	109267	106846	107485
105.718	1	31	-99	-99	1	2	5	1	2	0	16	0.25	109267	106846	107485
108.4205	1	10	2	427.5	1	7	2	1	2	0	17	0.25	114506	111969	112397
110.9572	1	31	-99	-99	1	7	2	1	2	0	17	0.25	114506	111969	112397
114.0079	1	10	2	432.1	1	3	6	1	2	1	18	0.75	119745	117557	117989
116.1965	1	31	-99	-99	1	3	6	1	2	1	18	0.75	119745	117557	117989
119.3301	1	10	2	413.9	1	4	2	0	2	1	19	0.75	124968	122879	123293
121.4192	1	30	-99	-99	1	4	2	0	2	1	19	0.75	124968	122879	123293
124.1051	1	10	2	518.9	1	8	4	0	2	1	20	0.75	130141	127654	128173
126.5921	1	30	-99	-99	1	8	4	0	2	1	20	0.75	130141	127654	128173
129.6097	1	10	1	566.3	1	6	2	0	1	1	21	0.75	135297	133158	133725
131.7485	1	30	-99	-99	1	6	2	0	1	1	21	0.75	135297	133158	133725
134.8821	1	10	2	677.9	1	4	7	0	2	1	22	0.75	141249	138431	139109
137.7007	1	30	-99	-99	1	4	7	0	2	1	22	0.75	141249	138431	139109
140.8509	1	10	1	293.1	1	8	4	1	1	1	23	0.75	147019	144399	144693
143.4705	1	31	-99	-99	1	8	4	1	1	1	23	0.75	147019	144399	144693
146.4715	1	10	1	376.5	1	3	6	1	1	1	24	0.75	152656	150020	150397
149.1077	1	31	-99	-99	1	3	6	1	1	1	24	0.75	152656	150020	150397
151.9926	1	10	1	391.4	1	4	2	1	1	1	25	0.75	158376	155541	155933
154.8278	1	31	-99	-99	1	4	2	1	1	1	25	0.75	158376	155541	155933
157.7293	1	10	1	414.7	1	7	7	0	1	1	26	0.75	163665	161278	161693
160.1168	1	30	-99	-99	1	7	7	0	1	1	26	0.75	163665	161278	161693
162.6867	1	10	1	593.3	1	2	3	1	1	1	27	0.75	168391	166235	166829
164.8421	1	31	-99	-99	1	2	3	1	1	1	27	0.75	168391	166235	166829
167.9425	1	10	1	961.5	1	5	2	1	1	1	28	0.75	174061	171491	172453
170.5124	1	31	-99	-99	1	5	2	1	1	1	28	0.75	174061	171491	172453
173.6626	1	10	1	553.4	1	8	4	1	1	1	29	0.75	179648	177211	177765
176.0998	1	31	3	3332.2	1	8	4	1	1	1	29	0.75	179648	177211	177765
180.4604	1	10	1	779.6	1	6	3	1	1	0	30	0.15	187308	184009	184789
183.7598	1	31	-99	-99	1	6	3	1	1	0	30	0.15	187308	184009	184789
187.2581	1	10	1	429.9	1	5	4	0	1	0	31	0.15	193609	190807	191237
190.0602	1	30	-99	-99	1	5	4	0	1	0	31	0.15	193609	190807	191237
193.3927	1	10	1	399.3	1	6	6	0	1	0	32	0.15	199677	196941	197341
196.1284	1	30	-99	-99	1	6	6	0	1	0	32	0.15	199677	196941	197341
199.2785	1	10	2	849.5	1	2	3	1	2	0	33	0.15	206060	202827	203677
202.5117	1	31	-99	-99	1	2	3	1	2	0	33	0.15	206060	202827	203677
205.6785	1	10	2	313.5	1	7	5	1	2	0	34	0.15	211449	209227	209541
207.9002	1	31	-99	-99	1	7	5	1	2	0	34	0.15	211449	209227	209541
210.4867	1	10	2	273.3	1	8	2	1	2	0	35	0.15	216804	214035	214309
213.2555	1	31	-99	-99	1	8	2	1	2	0	35	0.15	216804	214035	214309
215.8088	1	10	2	359.2	1	4	4	1	2	0	36	0.15	221645	219357	219717
218.0969	1	31	-99	-99	1	4	4	1	2	0	36	0.15	221645	219357	219717
221.0315	1	10	2	640.5	1	3	3	0	2	0	37	0.15	227482	224580	225221
223.933	1	30	-99	-99	1	3	3	0	2	0	37	0.15	227482	224580	225221
226.5361	1	10	2	543.9	1	4	6	1	2	0	38	0.15	232953	230085	230629
229.4044	1	31	-99	-99	1	4	6	1	2	0	38	0.15	232953	230085	230629
232.8696	1	10	2	658.4	1	4	5	1	2	0	39	0.15	239270	236418	237077
235.7213	1	31	-99	-99	1	4	5	1	2	0	39	0.15	239270	236418	237077
239.2363	1	10	2	467.6	1	7	5	1	2	0	40	0.15	244824	242785	243253
241.2756	1	31	-99	-99	1	7	5	1	2	0	40	0.15	244824	242785	243253
244.7408	1	10	2	283.2	1	8	5	1	2	0	41	0.15	250992	248289	248573
247.4434	1	31	-99	-99	1	8	5	1	2	0	41	0.15	250992	248289	248573
250.0298	1	10	2	282.1	1	2	7	1	2	0	42	0.15	256165	253578	253861
252.6163	1	31	-99	-99	1	2	7	1	2	0	42	0.15	256165	253578	253861
255.352	1	10	2	552	1	7	7	1	2	0	43	0.15	261669	258901	259453
258.1209	1	31	-99	-99	1	7	7	1	2	0	43	0.15	261669	258901	259453
261.2876	1	10	2	416.3	1	7	7	1	2	0	44	0.15	267323	264836	265253
263.7746	1	31	-99	-99	1	7	7	1	2	0	44	0.15	267323	264836	265253
266.3445	1	10	2	343.4	1	6	5	1	2	0	45	0.15	272032	269893	270237
268.4833	1	31	-99	-99	1	6	5	1	2	0	45	0.15	272032	269893	270237
271.0035	1	10	2	340.4	1	5	7	1	2	0	46	0.15	276857	274552	274893
273.3081	1	31	-99	-99	1	5	7	1	2	0	46	0.15	276857	274552	274893
276.6407	1	10	2	135.2	1	5	7	0	2	1	47	0.85	281963	280189	280325
278.4147	1	30	-99	-99	1	5	7	0	2	1	47	0.85	281963	280189	280325
281.4157	1	10	2	304.3	1	4	8	0	2	1	48	0.85	286838	284964	285269
283.2892	1	30	-99	-99	1	4	8	0	2	1	48	0.85	286838	284964	285269
286.2902	1	10	1	365.7	1	8	2	1	1	1	49	0.85	292011	289839	290205
288.4622	1	31	-99	-99	1	8	2	1	1	1	49	0.85	292011	289839	290205
291.8942	1	10	1	273.7	1	3	4	1	1	1	50	0.85	297913	295443	295717
294.3646	1	31	-99	-99	1	3	4	1	1	1	50	0.85	297913	295443	295717
297.1169	1	10	1	339	1	4	5	1	1	1	51	0.85	303318	300666	301005
299.7697	1	31	-99	-99	1	4	5	1	1	1	51	0.85	303318	300666	301005
302.7541	1	10	1	389.8	1	7	8	1	1	1	52	0.85	308657	306303	306693
305.1085	1	31	-99	-99	1	7	8	1	1	1	52	0.85	308657	306303	306693
308.5073	1	10	1	484.6	1	2	5	1	1	1	53	0.85	315024	312056	312541
311.4751	1	31	-99	-99	1	2	5	1	1	1	53	0.85	315024	312056	312541
314.9238	1	10	1	260.1	1	7	7	1	1	1	54	0.85	320993	318472	318733
317.4439	1	31	-99	-99	1	7	7	1	1	1	54	0.85	320993	318472	318733
320.876	1	10	1	508	1	2	4	1	1	1	55	0.85	326895	324425	324933
323.3464	1	31	-99	-99	1	2	4	1	1	1	55	0.85	326895	324425	324933
326.2976	1	10	1	454.4	1	7	3	1	1	1	56	0.85	332632	329846	330301
329.0831	1	31	-99	-99	1	7	3	1	1	1	56	0.85	332632	329846	330301
332.0343	1	10	1	613.6	1	5	7	1	1	1	57	0.85	337987	335583	336197
334.4384	1	31	-99	-99	1	5	7	1	1	1	57	0.85	337987	335583	336197
337.3399	1	10	1	404	1	8	3	1	1	1	58	0.85	343293	340888	341293
339.744	1	31	-99	-99	1	8	3	1	1	1	58	0.85	343293	340888	341293
343.1097	1	10	1	802.2	1	7	8	1	1	1	59	0.85	349411	346658	347461
345.862	1	31	3	2985.9	1	7	8	1	1	1	59	0.85	349411	346658	347461
349.8743	1	10	2	821.7	1	5	8	1	2	1	60	0.25	356026	353423	354245
352.4774	1	31	-99	-99	1	5	8	1	2	1	60	0.25	356026	353423	354245
355.9592	1	10	2	320.7	1	4	4	0	2	1	61	0.25	362194	359508	359829
358.6451	1	30	-99	-99	1	4	4	0	2	1	61	0.25	362194	359508	359829
361.729	1	10	2	286.9	1	8	3	1	2	1	62	0.25	367649	365278	365565
364.0999	1	31	-99	-99	1	8	3	1	2	1	62	0.25	367649	365278	365565
366.8024	1	10	2	189.6	1	5	3	1	2	1	63	0.25	372871	370351	370541
369.3226	1	31	-99	-99	1	5	3	1	2	1	63	0.25	372871	370351	370541
372.307	1	10	2	268.9	1	6	3	1	2	1	64	0.25	377829	375856	376125
374.28	1	31	2	2079.9	1	6	3	1	2	1	64	0.25	377829	375856	376125
376.966	1	10	2	305.9	1	2	2	1	2	1	65	0.25	382504	380515	380821
378.9556	1	31	-99	-99	1	2	2	1	2	1	65	0.25	382504	380515	380821
382.1057	1	10	1	526.2	1	8	4	0	1	1	66	0.25	388390	385654	386181
384.8414	1	30	-99	-99	1	8	4	0	1	1	66	0.25	388390	385654	386181
388.1408	1	10	2	107.1	1	3	4	0	2	1	67	0.25	394226	391689	391797
