onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.028	1	10	1	1293.7	1	3	7	1	1	0	1	0.75	22819	19785	21078
4.0621	1	31	-99	-99	1	3	7	1	1	0	1	0.75	22819	19785	21078
6.7812	1	10	2	788.5	1	7	4	0	2	0	2	0.75	28439	25538	26326
9.6827	1	30	-99	-99	1	7	4	0	2	0	2	0.75	28439	25538	26326
12.75	1	10	1	1283.7	1	4	7	0	1	0	3	0.75	34574	31507	32790
15.8173	1	30	-99	-99	1	4	7	0	1	0	3	0.75	34574	31507	32790
18.9012	1	10	2	1124.5	1	6	7	0	2	0	4	0.75	40592	37658	38782
21.8358	1	30	-99	-99	1	6	7	0	2	0	4	0.75	40592	37658	38782
24.7539	1	10	2	1743.8	1	2	2	0	2	0	5	0.75	46860	43510	45254
28.103	1	30	-99	-99	1	2	2	0	2	0	5	0.75	46860	43510	45254
30.789	1	10	1	692.7	1	4	4	0	1	0	6	0.75	52430	49546	50238
33.6739	1	30	-99	-99	1	4	4	0	1	0	6	0.75	52430	49546	50238
36.7412	1	10	1	3212.5	1	3	3	1	1	0	7	0.75	60356	55498	58710
41.5991	1	31	-99	-99	1	3	3	1	1	0	7	0.75	60356	55498	58710
44.5835	1	10	2	2970.2	1	7	2	0	2	0	8	0.75	68613	63340	66310
49.8559	1	30	-99	-99	1	7	2	0	2	0	8	0.75	68613	63340	66310
53.0393	1	10	2	842.4	1	2	4	0	2	0	9	0.75	74648	71796	72638
55.8911	1	30	-99	-99	1	2	4	0	2	0	9	0.75	74648	71796	72638
58.4444	1	10	1	1293.3	1	4	6	1	1	0	10	0.75	80102	77201	78494
61.3459	1	31	-99	-99	1	4	6	1	1	0	10	0.75	80102	77201	78494
64.2473	1	10	2	1186.4	1	6	5	1	2	0	11	0.75	86287	83004	84190
67.5302	1	31	-99	-99	1	6	5	1	2	0	11	0.75	86287	83004	84190
70.3654	1	10	1	2428.3	1	6	6	1	1	0	12	0.75	94013	89122	91550
75.2564	1	31	-99	-99	1	6	6	1	1	0	12	0.75	94013	89122	91550
78.2243	1	10	1	2857.5	1	7	5	1	1	0	13	0.75	101905	96981	99838
83.1485	1	31	-99	-99	1	7	5	1	1	0	13	0.75	101905	96981	99838
86.3816	1	10	2	508.1	1	2	6	0	2	0	14	0.75	107426	105138	105646
88.6696	1	30	-99	-99	1	2	6	0	2	0	14	0.75	107426	105138	105646
91.7038	1	10	1	1122	1	6	5	1	1	0	15	0.75	113710	110460	111582
94.9534	1	31	-99	-99	1	6	5	1	1	0	15	0.75	113710	110460	111582
98.2694	1	10	1	1548.4	1	6	8	1	1	0	16	0.75	120922	117026	118574
102.1657	1	31	-99	-99	1	6	8	1	1	0	16	0.75	120922	117026	118574
105.0175	1	10	1	1032.2	1	6	6	0	1	0	17	0.75	126825	123774	124806
108.0682	1	30	-99	-99	1	6	6	0	1	0	17	0.75	126825	123774	124806
