onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
803.2975	1	10	2	2564.7	1	8	3	0	2	1	1	0.25	1614241	1610013	1612578
807.5254	1	30	-99	-99	1	8	3	0	2	1	1	0.25	1614241	1610013	1612578
810.659	1	10	2	1371.1	1	3	3	1	2	1	2	0.25	1620359	1617375	1618746
813.6434	1	31	-99	-99	1	3	3	1	2	1	2	0.25	1620359	1617375	1618746
816.4952	1	10	1	2638.9	1	7	6	0	1	1	3	0.25	1627505	1623211	1625850
820.7893	1	30	-99	-99	1	7	6	0	1	1	3	0.25	1627505	1623211	1625850
823.525	1	10	1	1809.1	1	7	2	1	1	1	4	0.25	1633905	1630241	1632050
827.1892	1	31	-99	-99	1	7	2	1	1	1	4	0.25	1633905	1630241	1632050
829.9746	1	10	2	3263.5	1	5	8	1	2	1	5	0.25	1641565	1636691	1639954
834.8491	1	31	-99	-99	1	5	8	1	2	1	5	0.25	1641565	1636691	1639954
837.7009	1	10	1	2865.2	1	5	3	0	1	1	6	0.25	1649590	1644417	1647282
842.8738	1	30	-99	-99	1	5	3	0	1	1	6	0.25	1649590	1644417	1647282
845.6758	1	10	1	1586.3	1	6	6	0	1	1	7	0.25	1656172	1652392	1653978
849.456	1	30	-99	-99	1	6	6	0	1	1	7	0.25	1656172	1652392	1653978
852.5565	1	10	1	1313.5	1	5	7	0	1	1	8	0.25	1662423	1659272	1660586
855.7066	1	30	-99	-99	1	5	7	0	1	1	8	0.25	1662423	1659272	1660586
858.9563	1	10	2	2305.8	1	4	5	0	2	1	9	0.25	1669933	1665672	1667978
863.2173	1	30	-99	-99	1	4	5	0	2	1	9	0.25	1669933	1665672	1667978
865.8204	1	10	1	1209.6	1	2	2	0	1	1	10	0.25	1676118	1672536	1673746
869.4016	1	30	-99	-99	1	2	2	0	1	1	10	0.25	1676118	1672536	1673746
872.0876	1	10	1	4902.4	1	8	8	0	1	1	11	0.25	1685983	1678803	1683706
879.2667	1	30	-99	-99	1	8	8	0	1	1	11	0.25	1685983	1678803	1683706
882.7816	1	10	1	760.4	1	7	3	0	1	1	12	0.25	1692084	1689498	1690258
885.3681	1	30	-99	-99	1	7	3	0	1	1	12	0.25	1692084	1689498	1690258
888.0872	1	10	2	414.8	1	5	6	1	2	1	13	0.25	1696925	1694803	1695218
890.2094	1	31	-99	-99	1	5	6	1	2	1	13	0.25	1696925	1694803	1695218
893.0446	1	10	2	1569.4	1	7	6	1	2	1	14	0.25	1703093	1699760	1701330
896.3772	1	31	-99	-99	1	7	6	1	2	1	14	0.25	1703093	1699760	1701330
899.4942	1	10	1	1639.7	1	2	4	0	1	1	15	0.25	1710239	1706210	1707850
903.5231	1	30	-99	-99	1	2	4	0	1	1	15	0.25	1710239	1706210	1707850
906.6235	1	10	1	1470.4	1	7	7	1	1	1	16	0.25	1717004	1713339	1714810
910.2877	1	31	-99	-99	1	7	7	1	1	1	16	0.25	1717004	1713339	1714810
913.5042	1	10	2	1501.7	1	7	7	0	2	1	17	0.25	1723785	1720220	1721722
917.0689	1	30	-99	-99	1	7	7	0	2	1	17	0.25	1723785	1720220	1721722
919.7548	1	10	2	3603.1	1	8	6	0	2	0	18	0.75	1732042	1726471	1730074
925.3257	1	30	-99	-99	1	8	6	0	2	0	18	0.75	1732042	1726471	1730074
927.8956	1	10	2	3486.3	1	3	7	0	2	0	19	0.75	1740398	1734611	1738098
933.682	1	30	-99	-99	1	3	7	0	2	0	19	0.75	1740398	1734611	1738098
936.6166	1	10	2	5341.2	1	5	4	0	2	0	20	0.75	1751191	1743333	1748674
944.4755	1	30	-99	-99	1	5	4	0	2	0	20	0.75	1751191	1743333	1748674
947.6257	1	10	1	1700.2	1	5	8	1	1	0	21	0.75	1758006	1754342	1756042
951.2898	1	31	-99	-99	1	5	8	1	1	0	21	0.75	1758006	1754342	1756042
953.8763	1	10	1	2609.5	1	2	3	0	1	0	22	0.75	1765317	1760592	1763202
958.6016	1	30	-99	-99	1	2	3	0	1	0	22	0.75	1765317	1760592	1763202
961.9673	1	10	1	1518.5	1	2	5	1	1	0	23	0.75	1772099	1768683	1770202
965.3827	1	31	-99	-99	1	2	5	1	1	0	23	0.75	1772099	1768683	1770202
967.9692	1	10	1	4060.6	1	3	5	1	1	0	24	0.75	1780670	1774685	1778746
973.9546	1	31	-99	-99	1	3	5	1	1	0	24	0.75	1780670	1774685	1778746
976.6737	1	10	2	6804.1	1	8	7	0	2	0	25	0.75	1792343	1783390	1790194
985.6268	1	30	-99	-99	1	8	7	0	2	0	25	0.75	1792343	1783390	1790194
988.5946	1	10	1	1499.2	1	4	4	1	1	0	26	0.75	1798345	1795311	1796810
991.6288	1	31	-99	-99	1	4	4	1	1	0	26	0.75	1798345	1795311	1796810
994.58	1	10	1	641.7	1	5	4	0	1	0	27	0.75	1803567	1801296	1801938
996.8514	1	30	-99	-99	1	5	4	0	1	0	27	0.75	1803567	1801296	1801938
999.4047	1	10	1	1409	1	7	7	1	1	0	28	0.75	1809221	1806121	1807530
1002.5052	1	31	-99	-99	1	7	7	1	1	0	28	0.75	1809221	1806121	1807530
1005.2574	1	10	2	2604.3	1	8	8	0	2	0	29	0.75	1816500	1811973	1814578
1009.7838	1	30	3	2709.9	1	8	8	0	2	0	29	0.75	1816500	1811973	1814578
1013.5142	1	10	1	1659.5	1	6	4	1	1	0	30	0.85	1823712	1820230	1821890
1016.996	1	31	-99	-99	1	6	4	1	1	0	30	0.85	1823712	1820230	1821890
1020.3286	1	10	1	2253.1	1	3	4	1	1	0	31	0.85	1831422	1827044	1829298
1024.7057	1	31	-99	-99	1	3	4	1	1	0	31	0.85	1831422	1827044	1829298
1027.8061	1	10	1	6263.5	1	8	5	1	1	0	32	0.85	1843144	1834522	1840786
1036.4277	1	31	-99	-99	1	8	5	1	1	0	32	0.85	1843144	1834522	1840786
1039.8431	1	10	1	1794.5	1	5	8	1	1	0	33	0.85	1850008	1846559	1848354
1043.2917	1	31	-99	-99	1	5	8	1	1	0	33	0.85	1850008	1846559	1848354
1045.8782	1	10	1	1295.4	1	2	5	1	1	0	34	0.85	1856275	1852594	1853890
1049.5589	1	31	-99	-99	1	2	5	1	1	0	34	0.85	1856275	1852594	1853890
1052.4604	1	10	2	1217.2	1	2	5	0	2	0	35	0.85	1862592	1859176	1860393
1055.8759	1	30	-99	-99	1	2	5	0	2	0	35	0.85	1862592	1859176	1860393
1058.8934	1	10	1	1912.2	1	5	6	1	1	0	36	0.85	1869191	1865609	1867521
1062.4746	1	31	-99	-99	1	5	6	1	1	0	36	0.85	1869191	1865609	1867521
1065.6249	1	10	1	2356.6	1	2	5	1	1	0	37	0.85	1876652	1872341	1874697
1069.9357	1	31	-99	-99	1	2	5	1	1	0	37	0.85	1876652	1872341	1874697
1073.3345	1	10	2	5015.1	1	6	8	0	2	0	38	0.85	1886981	1880050	1885065
1080.2649	1	30	-99	-99	1	6	8	0	2	0	38	0.85	1886981	1880050	1885065
1083.5312	1	10	1	954.3	1	7	8	1	1	0	39	0.85	1893613	1890247	1891201
1086.8969	1	31	-99	-99	1	7	8	1	1	0	39	0.85	1893613	1890247	1891201
1089.4502	1	10	1	1547.3	1	4	2	1	1	0	40	0.85	1899847	1896166	1897713
1093.131	1	31	-99	-99	1	4	2	1	1	0	40	0.85	1899847	1896166	1897713
1096.0988	1	10	1	2386.7	1	2	4	0	1	0	41	0.85	1906976	1902815	1905201
1100.2603	1	30	-99	-99	1	2	4	0	1	0	41	0.85	1906976	1902815	1905201
1103.1784	1	10	1	1259.1	1	2	8	1	1	0	42	0.85	1913078	1909894	1911153
1106.3617	1	31	-99	-99	1	2	8	1	1	0	42	0.85	1913078	1909894	1911153
1108.9813	1	10	1	5296.1	1	8	3	1	1	0	43	0.85	1922545	1915697	1920993
1115.8288	1	31	-99	-99	1	8	3	1	1	0	43	0.85	1922545	1915697	1920993
1119.2277	1	10	2	2953.8	1	2	7	1	2	0	44	0.85	1931249	1925944	1928897
1124.5333	1	31	-99	-99	1	2	7	1	2	0	44	0.85	1931249	1925944	1928897
1127.07	1	10	1	2959.4	1	4	7	1	1	0	45	0.85	1938428	1933786	1936745
1131.7124	1	31	-99	-99	1	4	7	1	1	0	45	0.85	1938428	1933786	1936745
1134.2491	1	10	1	6828.3	1	6	2	1	1	0	46	0.85	1949819	1940965	1947793
1143.1028	1	31	-99	-99	1	6	2	1	1	0	46	0.85	1949819	1940965	1947793
1145.8717	1	10	1	7261.7	1	3	6	1	1	0	47	0.85	1961640	1952588	1959849
1154.9243	1	31	-99	-99	1	3	6	1	1	0	47	0.85	1961640	1952588	1959849
1158.1739	1	10	2	3543.5	1	2	7	0	2	0	48	0.85	1970776	1964890	1968433
1164.0598	1	30	-99	-99	1	2	7	0	2	0	48	0.85	1970776	1964890	1968433
1167.4919	1	10	1	953.4	1	8	6	1	1	0	49	0.85	1976993	1974208	1975161
1170.2773	1	31	-99	-99	1	8	6	1	1	0	49	0.85	1976993	1974208	1975161
1173.2285	1	10	1	3472.8	1	6	8	1	1	0	50	0.85	1985830	1979944	1983417
1179.1144	1	31	-99	-99	1	6	8	1	1	0	50	0.85	1985830	1979944	1983417
1182.364	1	10	2	3089.3	1	6	6	1	2	0	51	0.85	1994037	1989080	1992169
1187.3214	1	31	-99	-99	1	6	6	1	2	0	51	0.85	1994037	1989080	1992169
1189.9742	1	10	1	1455.1	1	4	4	0	1	1	52	0.15	2000305	1996690	1998145
1193.5886	1	30	-99	-99	1	4	4	0	1	1	52	0.15	2000305	1996690	1998145
