onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0317	1	10	2	751.3	1	8	4	0	2	1	1	0.75	17911	15076	15827
3.8669	1	30	-99	-99	1	8	4	0	2	1	1	0.75	17911	15076	15827
7.3155	1	10	3	659.5	1	3	8	0	3	1	2	0.75	23764	21360	22019
9.7196	1	30	-99	-99	1	3	8	0	3	1	2	0.75	23764	21360	22019
12.4884	1	10	2	590.7	1	8	6	0	2	1	3	0.75	28970	26533	27123
14.9257	1	30	-99	-99	1	8	6	0	2	1	3	0.75	28970	26533	27123
17.6116	1	10	3	1051.5	1	8	8	1	3	1	4	0.75	34508	31656	32707
20.4634	1	31	-99	-99	1	8	8	1	3	1	4	0.75	34508	31656	32707
23.4809	1	10	3	782.1	1	2	3	0	3	1	5	0.75	39929	37525	38307
25.885	1	30	-99	-99	1	2	3	0	3	1	5	0.75	39929	37525	38307
28.687	1	10	2	480	1	6	2	1	2	1	6	0.75	45600	42731	43211
31.5554	1	31	-99	-99	1	6	2	1	2	1	6	0.75	45600	42731	43211
34.6392	1	10	2	599.8	1	7	5	0	2	1	7	0.75	51552	48683	49283
37.5076	1	30	-99	-99	1	7	5	0	2	1	7	0.75	51552	48683	49283
40.1106	1	10	3	568.4	1	3	8	1	3	1	8	0.75	56973	54155	54723
42.9292	1	31	-99	-99	1	3	8	1	3	1	8	0.75	56973	54155	54723
45.8805	1	10	2	606.6	1	8	6	0	2	1	9	0.75	62909	59925	60531
48.8649	1	30	-99	-99	1	8	6	0	2	1	9	0.75	62909	59925	60531
51.9653	1	10	3	713.8	1	3	5	0	3	1	10	0.75	68662	66010	66723
54.6181	1	30	-99	-99	1	3	5	0	3	1	10	0.75	68662	66010	66723
57.5528	1	10	2	862.3	1	7	6	1	2	1	11	0.75	74283	71597	72459
60.2387	1	31	-99	-99	1	7	6	1	2	1	11	0.75	74283	71597	72459
62.991	1	10	3	592	1	2	7	0	3	1	12	0.75	79489	77035	77627
65.4448	1	30	-99	-99	1	2	7	0	3	1	12	0.75	79489	77035	77627
68.28	1	10	3	543	1	2	5	0	3	1	13	0.75	84546	82324	82867
70.5017	1	30	-99	-99	1	2	5	0	3	1	13	0.75	84546	82324	82867
73.6519	1	10	2	611.2	1	7	3	0	2	1	14	0.75	90747	87696	88307
76.7026	1	30	-99	-99	1	7	3	0	2	1	14	0.75	90747	87696	88307
79.3222	1	10	2	956.9	1	8	7	1	2	1	15	0.75	96467	93366	94323
82.4227	1	31	-99	-99	1	8	7	1	2	1	15	0.75	96467	93366	94323
85.2081	1	10	3	550.9	1	3	5	1	3	1	16	0.75	101524	99252	99803
87.4796	1	31	-99	-99	1	3	5	1	3	1	16	0.75	101524	99252	99803
90.3977	1	10	2	697.4	1	6	3	0	2	1	17	0.75	106879	104442	105139
92.8349	1	30	-99	-99	1	6	3	0	2	1	17	0.75	106879	104442	105139
95.5209	1	10	3	606.1	1	5	7	0	3	0	18	0.25	112682	109565	110171
98.6379	1	30	-99	-99	1	5	7	0	3	0	18	0.25	112682	109565	110171
101.7052	1	10	3	661.8	1	3	7	0	3	0	19	0.25	118203	115749	116411
104.159	1	30	-99	-99	1	3	7	0	3	0	19	0.25	118203	115749	116411
106.7787	1	10	3	900.4	1	2	2	1	3	0	20	0.25	123409	120823	121723
109.3651	1	31	-99	-99	1	2	2	1	3	0	20	0.25	123409	120823	121723
112.0345	1	10	2	1324.6	1	7	7	0	2	0	21	0.25	129047	126079	127403
115.0023	1	30	-99	-99	1	7	7	0	2	0	21	0.25	129047	126079	127403
117.6551	1	10	3	1271.9	1	3	3	0	3	0	22	0.25	134551	131699	132971
120.5069	1	30	-99	-99	1	3	3	0	3	0	22	0.25	134551	131699	132971
123.7565	1	10	2	666.5	1	4	2	0	2	0	23	0.25	140221	137801	138467
126.1772	1	30	-99	-99	1	4	2	0	2	0	23	0.25	140221	137801	138467
129.2777	1	10	3	641.3	1	3	8	1	3	0	24	0.25	145776	143322	143963
131.7315	1	31	-99	-99	1	3	8	1	3	0	24	0.25	145776	143322	143963
134.7491	1	10	2	762	1	5	2	1	2	0	25	0.25	151529	148793	149555
137.4848	1	31	-99	-99	1	5	2	1	2	0	25	0.25	151529	148793	149555
140.0878	1	10	2	639.2	1	7	4	1	2	0	26	0.25	156536	154132	154771
142.4919	1	31	-99	-99	1	7	4	1	2	0	26	0.25	156536	154132	154771
145.41	1	10	3	1045.1	1	5	7	0	3	0	27	0.25	162754	159454	160499
148.7094	1	30	-99	-99	1	5	7	0	3	0	27	0.25	162754	159454	160499
151.3788	1	10	2	508.2	1	7	2	1	2	0	28	0.25	167794	165423	165931
153.7497	1	31	-99	-99	1	7	2	1	2	0	28	0.25	167794	165423	165931
157.0325	1	10	2	654.5	1	8	7	1	2	0	29	0.25	173265	171077	171731
159.2211	1	31	-99	-99	1	8	7	1	2	0	29	0.25	173265	171077	171731
169.998	1	10	3	1369.1	1	5	5	0	3	0	30	0.85	187242	184042	185411
173.198	1	30	-99	-99	1	5	5	0	3	0	30	0.85	187242	184042	185411
176.7129	1	10	3	598.2	1	2	7	1	3	0	31	0.85	193592	190757	191355
179.5481	1	31	-99	-99	1	2	7	1	3	0	31	0.85	193592	190757	191355
182.4993	1	10	2	691.7	1	8	7	0	2	0	32	0.85	199561	196544	197235
185.5169	1	30	-99	-99	1	8	7	0	2	0	32	0.85	199561	196544	197235
188.7002	1	10	3	914.9	1	4	4	0	3	0	33	0.85	205895	202744	203659
191.8504	1	30	-99	-99	1	4	4	0	3	0	33	0.85	205895	202744	203659
195.2328	1	10	2	662.2	1	2	2	0	2	0	34	0.85	212195	209277	209939
198.1508	1	30	-99	-99	1	2	2	0	2	0	34	0.85	212195	209277	209939
200.8368	1	10	3	626.2	1	2	7	0	3	0	35	0.85	217766	214881	215507
203.7217	1	30	-99	-99	1	2	7	0	3	0	35	0.85	217766	214881	215507
206.275	1	10	3	604.1	1	3	5	0	3	0	36	0.85	223171	220319	220923
