onset	duration	value	response	rt	good	Bd1	Bd2	F	Resp	buena	nt	prob	ttF	ttp	ttr
1.0309	1	10	2	918.3	1	2	6	1	2	0	1	0.25	16850	13551	14469
4.3303	1	31	-99	-99	1	2	6	1	2	0	1	0.25	16850	13551	14469
7.2484	1	10	2	1724.8	1	7	4	0	2	0	2	0.25	23432	19768	21493
10.9126	1	30	-99	-99	1	7	4	0	2	0	2	0.25	23432	19768	21493
14.1457	1	10	1	3083.5	1	7	7	0	1	0	3	0.25	31706	26665	29749
19.186	1	30	-99	-99	1	7	7	0	1	0	3	0.25	31706	26665	29749
22.3196	1	10	2	397.6	1	3	8	1	2	0	4	0.25	37260	34839	35237
24.7403	1	31	-99	-99	1	3	8	1	2	0	4	0.25	37260	34839	35237
27.5754	1	10	2	605.8	1	4	6	1	2	0	5	0.25	42715	40095	40701
30.1951	1	31	-99	-99	1	4	6	1	2	0	5	0.25	42715	40095	40701
32.9805	1	10	2	3376.7	1	6	6	1	2	0	6	0.25	50524	45500	48877
38.0042	1	31	-99	-99	1	6	6	1	2	0	6	0.25	50524	45500	48877
40.7067	1	10	2	3282.5	1	3	7	0	2	0	7	0.25	58167	53226	56509
45.6476	1	30	-99	-99	1	3	7	0	2	0	7	0.25	58167	53226	56509
48.4164	1	10	1	1180.8	1	7	5	0	1	0	8	0.25	64036	60936	62117
51.5169	1	30	-99	-99	1	7	5	0	1	0	8	0.25	64036	60936	62117
54.1697	1	10	2	539.5	1	4	7	1	2	0	9	0.25	69010	66689	67229
56.4909	1	31	-99	-99	1	4	7	1	2	0	9	0.25	69010	66689	67229
59.8732	1	10	2	652	1	3	3	1	2	0	10	0.25	74614	72393	73045
62.0949	1	31	-99	-99	1	3	3	1	2	0	10	0.25	74614	72393	73045
65.3943	1	10	2	642.9	1	3	7	1	2	0	11	0.25	80782	77914	78557
68.2626	1	31	-99	-99	1	3	7	1	2	0	11	0.25	80782	77914	78557
71.0646	1	10	1	2212.6	1	4	3	0	1	0	12	0.25	88111	83584	85797
75.591	1	30	-99	-99	1	4	3	0	1	0	12	0.25	88111	83584	85797
78.5256	1	10	2	855.6	1	6	2	1	2	0	13	0.25	93864	91045	91901
81.3442	1	31	-99	-99	1	6	2	1	2	0	13	0.25	93864	91045	91901
84.3783	1	10	2	626.9	1	2	6	0	2	0	14	0.25	99551	96898	97525
87.0311	1	30	-99	-99	1	2	6	0	2	0	14	0.25	99551	96898	97525
90.2477	1	10	1	2917.5	1	5	8	0	1	0	15	0.25	108073	102767	105685
95.5532	1	30	-99	-99	1	5	8	0	1	0	15	0.25	108073	102767	105685
98.405	1	10	2	520.2	1	6	3	1	2	0	16	0.25	113577	110925	111445
101.0578	1	31	-99	-99	1	6	3	1	2	0	16	0.25	113577	110925	111445
104.4235	1	10	2	413.7	1	6	4	1	2	0	17	0.25	119762	116943	117357
107.2421	1	31	-99	-99	1	6	4	1	2	0	17	0.25	119762	116943	117357
109.8783	1	10	2	582.9	1	4	8	1	2	0	18	0.25	124570	122398	122981
112.0503	1	31	-99	-99	1	4	8	1	2	0	18	0.25	124570	122398	122981
115.4989	1	10	2	706.3	1	4	2	1	2	1	19	0.75	130986	128019	128725
118.4667	1	31	-99	-99	1	4	2	1	2	1	19	0.75	130986	128019	128725
121.4511	1	10	1	1082.1	1	6	6	1	1	1	20	0.75	136939	133971	135053
124.4189	1	31	-99	-99	1	6	6	1	1	1	20	0.75	136939	133971	135053
127.8676	1	10	2	745.6	1	2	6	0	2	1	21	0.75	142708	140387	141133
130.1888	1	30	-99	-99	1	2	6	0	2	1	21	0.75	142708	140387	141133
